#رقم 	مشكول	غير مشكول	جذر	وزن	صنف	اصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرده المحسوب	تأنيث	تثنية	ج.مؤ.س	ج. مذ. س.	منقوص	تنوين النصب	نسب	إض. لف.	ـو	نكرة	معرف	غ. عاقل	عاقل	تنون النصب للجمع	شرح
9576	نِمْسٌ	نمس	نمس					مذكر			مفرد	نُمُوسٌ			DnN				Tn	R								ج: نُمُوسٌ. (حو). : حَيَوَانٌ مِنْ فَصِيلَةِ الزَّبَادِيَّاتِ، مِـنْرُتْبَةِ الضَّوَارِي الْبَرِّيَّةِ، فَرْوُهُ أَحْمَرُ اللَّوْنِ فِي الظَّه
9590	مِنْهَاجٌ	منهاج	نهج					مذكر			مفرد	مَنَاهِجُ 			DnN				Tn	R								". 1.""سَارَ فِي مِنْهَاجٍ وَاضِحٍ"" : فِي طَرِيقٍ وَاضِحٍ.المائدة آية 48 لِكُلٍّ جَعَلْنَا مِنْكُمْ شِرْعَةً ومِنْهَاجاً (قرآن). 2.""المِنْهَاجُ الدِّرَاسِيُّ"" : البَرْنَامَجُ الدِّرَاسِيُّ. ""الْمَنَاهِجُ التَّع"
9592	مِنْهَجٌ	منهج	نهج					مذكر			مفرد	مَنَاهِجُ 			DnN				Tn	Rp								". ""يَسِيرُ وَفْقَ مِنْهَجٍ مُحَدَّدٍ"" : وَفْقَ خُطَّةٍ مُحَدَّدَةِ الْمَعَالِمِ، أَيْ تَحْكُمُهُ قَوَاعِدُ عِلْمِيَّةٌ مَضْبُوطَةٌ لِلْوُصُولِ إِلَى إِظْهَا"
9597	نُهَامٌ	نهام	نهم					مذكر			مفرد	نُهُمٌ 			DnN				Tn	R								نُهَامٌ - ج: نُهُمٌ. [ن هـ م]. نُهَامِيٌّ. 1. : بُومٌ. 2. : رَاهِبٌ فِي الدَّيْرِ. 3. : نَجَّارٌ. 4. : حَدَّادٌ. 
9600	نَهْدٌ	نهد	نهد					مذكر			مفرد	نُهُودٌ 			DnN				Tn	R								". ""نَهْدُ الْمَرْأَةِ"" : ثَدْيُهَا."
9636	نَوْرَجٌ	نورج	نورج					مذكر			مفرد	نَوَارِجُ 			DnN				Tn	R								. 1. : سِكَّةُ، حَدِيدَةُ الْمِحْرَاثِ. 2. : مَا تُدَاسُ بِهِ سَنَابِلُ القَمْحِ مِنْ خَشَبٍ كَانَ أَوْ حَدِيدٍ لِفَصْلِ الْحَبِّ مِنْهَا.
9655	مِنْوَالٌ	منوال	نول					مذكر			مفرد	مَنَاوِيلُ 			DnN				Tn	R								". 1. : خَشَبَةُ الْحَائِكِ الَّتِي يُنْسَجُ وَيُلَفُّ عَلَيْهَا الثَّوْبُ وَقْتَ النَّسِيجِ. 2.""يَسِيرُ عَلَى المِنْوَالِ نَفْسِهِ"" : عَلَى النَّمَطِ نَفْسِهِ، النَّسَقِ نَفْسِهِ، الشَّكْلِ نَفْسِهِ. ""يَسِيرُ عَلَى مِنْوَالِهِ"" ""هُمْ عَلَى مِنْوَالٍ وَاحِدٍ"". 3.""مِنْوَالُكَ أَنْ تَفْعَلَ الْخَيْرَ"" : يَنْبَغِي لَكَ."
9685	مَهَبٌّ	مهب	هبب					مذكر			مفرد	مَهَابُّ 			DnN				Tn	R			O	O	O	N		". ""فِي مَهَبِّ الرِّيحِ"" : فِي مَوْضِعِ هُبُوبِهَا."
9692	مَهْبِطٌ	مهبط	هبط					مذكر			مفرد	مَهَابِطُ 			DnN				Tn	R								". 1.""مَكَّةُ مَهْبِطُ الوَحْيِ"" : هِيَ مَكَانُ نُزُولِهِ. 2.""مَهْبِطُ الطَّائِرَاتِ"" : مَكَانُ هُبُوطِهَا، الْمَطَارُ."
9694	مَهْبِلٌ	مهبل	هبل					مذكر			مفرد	مَهَابِلُ 			DnN				Tn	R								". ""مَهْبِلُ الْمَرْأَةِ"" : القَنَاةُ الْمُمْتَدَّةُ عِنْدَ الأُنْثَى مِنَ الفَرْجِ إِلَى الرَّحِمِ."
9706	مَهْجَرٌ	مهجر	هجر					مذكر			مفرد	مَهَاجِرُ 			DnN				Tn									". 1.""عَاشَ زَمَناً فِي الْمَهْجَرِ"" : بِلاَدُ الهِجْرَةِ. 2.""شُعَرَاءُ الْمَهْجَرِ"": الشُّعَرَاءُ العَرَبُ الَّذِينَ اِسْتَقَرُّوا فِي أَمْرِيكَا الشَّمَالِيَّةِ والْجَنُوبِيَّةِ. 3.""لاَ يَفُوهُ إِلاَّ بِالْمَهَاجِرِ"" : بِالقَلِيلِ مِنَ الكَلاَمِ."
9721	هَيْدَبٌ	هيدب	هدب					مذكر			مفرد	هَيَادِبُ 			DnN				Tn	R								". 1.""سَحَابٌ هَيْدَبٌ"": سَحَابٌ مُتَدَلٍّ يَدْنُو مِنَ الأَرْضِ وَيُرَى كَأَنَّهُ خُيُوطٌ عِنْدَ انْصِبابِهِ. 2.""هَيْدَبُ الثَّوْبِ"" : خَمْلُهُ. 3.""هَيْدَبُ الْمَرْأَةِ"" : ثَدْيُهَا الْمُسْتَرْخِي. 4.""وَلَدٌ هَيْدَبُ الشَّعْرِ"" : كَثِيرُهُ. 5.""رَجُلٌ هَيْدَبٌ"" : جَافٌّ ثَقِيلٌ."
9723	هَوْدَجٌ	هودج	هدج					مذكر			مفرد	هَوَادِجُ 			DnN				Tn	R								". ""حَمَلُوهَا عَلَى الْهَوْدَجِ"" : مَحْمَلٌ يُوضَعُ عَلَى ظَهْرِ جَمَلٍ لَهُ قُبَّةٌ تَرْكَبُ فِيهِ النِّسَاءُ. ""هَوْدَجُ الْعَرُوسِ""."
9751	هُرْهُورٌ	هرهور	هرهر					مذكر			مفرد	هَرَاهِيرُ 			DnN				Tn	R								". 1.""هُرْهُورُ عُنْقُودِ الْعِنَبِ"" : مَا تَنَاثَرَ مِنْهُ فِي أَصْلِ الْكَرْمِ. 2.""هُرْهُورُ الْمَاءِ"" : صَوْتُهُ عِنْدَمَا يَتَدَفَّقُ كَثِيراً. 3.""اِنْطَلَقَ الْهُرْهُورُ وَسَطَ الأَمْوَاجِ"" : زَوْرَقٌ أَوْ قَارِبٌ كَبِيرٌ."
9762	هُزْرُوفٌ	هزروف	هزروف					مذكر			مفرد	هَزَارِيفُ 			DnN				Tn	R			O	O	O	N		"ج: هَزَارِيفُ. ""هُزْرُوفُ النّعَامِ"" : ذَكَرُهُ، أَيِ الظَّلِيمُ السَّرِيعُ الْخَفِيفُ."
9773	هَيْكَلٌ	هيكل	هكل					مذكر			مفرد	هَيَاكِلُ 			DnN				Tn	R								". 1.""هَيْكَلُ الشَّيْءِ"" : شَكْلُهُ، صُورَتُهُ، هَيْئَتُهُ وَيُعَيَّنُ بِهِ عَادَةً مَا هُوَ ضَخْمٌ. ""هَيْكَلُ الْبِنَاءِ"" ""هَيْكَلُ السَّيَّارَةِ"" ""هَيْكَلُ السَّرِيرِ"". 2.""فَرَسٌ هَيْكَلٌ"" : طَوِيلٌ ضَخْمٌ. 3.""نَبَاتٌ أَوْ شَجَرٌ هَيْكَلٌ"" : مَا طَالَ وَعَظُمَ مِنْهُ. 4.""الْهَيْكَلُ الْعَظْمِيُّ"" : مَجْمُوعُ الْعِظَامِ الَّتِي يَقُومُ عَلَيْهَا بِنَ"
9849	مِيثَاقٌ	ميثاق	وثق					مذكر			مفرد	مَوَاثِيقُ 			DnN				Tn	R								". 1.""مِيثَاقُ الشَّرَفِ"" : العَهْدُ.الرعد آية 20 الَّذِينَ يُوفُونَ بِعَهْدِ اللهِ وَلاَ يَنْقُضُونَ الْمِيثَاقَ (قرآن). 2.""مِيثَاقُ الأُمَمِ الْمُتَّحِدَةِ"" : وَثِيقَةٌ سِيَاسِيَّةٌ تَتَضَمَّنُ مَبَادِئَ الأُمَمِ وَالقَوَاعِدِ الأَسَاسِيَّةِ الْمُتَّفَقِ عَلَيْهَا مِنْ أَجْلِ احْتِرَامِهَا فِي الْمُمَارَسَةِ. ""صادَقَتِ الأُمَمُ الْمُتَّحِدَةُ عَلَى مِيثَاقِ حُقُوقِ الإِنْسَانِ سنة 1949م""."
9881	مَوْحِلٌ	موحل	وحل					مذكر			مفرد	مَوَاحِلُ 			DnN				Tn	R								". 1.""غَاصَ فِي الْمَوْحِلِ"": مَوْضِعُ الوَحَلِ، ال"
