#رقم	مشكول	غير مشكول	root	وزن	derived	الأصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح	
446	مُسْتَقْبَلِيٌّ		قبل		منسوب	مُسْتَقْبَلٌ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						"(مَنْسُوبٌ إِلَى الْمُسْتَقْبَلِ). ""بَاحِثٌ مُسْتَقْبَلِيٌّ"" : مُهْتَمٌّ بِدِرَاسَةِ مَا سَيَكُونُ عَلَيْهِ عَالَمُ الغَدِ."	
447	مَسِيحِيٌّ		مسح		منسوب	مَسِيحٌ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						". مَنْسُوبٌ إِلَى الْمَسِيحِ، التَّابعُ لِدِينِهِ وَتَعَالِيمِهِ. ""الإِنْجِيلُ كِتَابُ الدِّينِ الْمَسِيحِيِّ""."	
448	مَشْرِقِيٌّ		شرق		منسوب	مَشْرِقٌ		مذكر			مفرد	+ون;+ات;مَشَارِقَةٌ		Ta	DnT	Pf	PmS		Tn			ـو						(مَنْسُوبٌ إِلَى الْمَشْرِق).	
449	مَشَارِقَةٌ							مذكر			جمع		مَشْرِقِيٌّ						Tn										
450	مَصْرِفِيٌّ		صرف		منسوب	مَصْرِفٌ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						"(مَنْسُوبٌ إِلَى الْمَصْرِفِ، مَالَهُ عَلاَقَةٌ بِالْمَصْرِفِ). 1.""مَصْرِفِيٌّ نَاجِحٌ "" : الْمُشْتَغِلُ بِالْمَصْرِفِ وَقَضَايَاهُ. 2. ""شِيكٌ مَصْرِفِيٌّ"" : شِيكٌ يُتَعَامَلُ بِهِ بِوَاسِطَةِ الْمَصْرِفِ. ""قُرُوضٌ مَصْرِفِيَّةٌ""."	
451	مِظَلِّيٌّ		ظلل		منسوب	مِظَلَّةٌ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						"(مَنْسُوبٌ إِلَى المِظَلَّةِ). ""نَزَلَ المِظَلِّيُّ بِسَلاَمٍ"" : مَنْ يَهْبِطُ مِنَ الفَضَاءِ بَعْدَمَا تَقْذِفُهُ الطَّائِرَةُ بِالْمِظَلَّةِ."	
452	مُعْجَمِيٌّ		عجم		منسوب	مُعْجَمٌ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						(مَنْسُوبٌ إِلَى الْمُعْجَمِ). 1.: مُهْتَمٌّ بِمُفْرَدَاتِ الْمُعْجَمِ. 2	
453	مَعْدِنِيٌّ		عدن		منسوب	مَعْدِنٌ		مذكر			مفرد			Ta	DnT	Pf			Tn									"مَعْدِنِيٌّ-مَعْدِنِيٌّ، ةٌ [ع د ن] (مَنْسُوبٌ إِلَى الْمَعْدِنِ). ""مَاءٌ مَعْدِنِيٌّ"" : مَاءٌ مُشْبَعٌ بِالأَمْلاَحِ. ""مِيَاهٌ مَعْدِنِيَّةٌ""."	
454	مِعْمَارِيٌّ		عمر		منسوب	مِعْمَارٌ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						"(مَنْسُوبٌ إِلَى المِعْمَارِ). 1.""مُهَنْدِسٌ مِعْمَارِيٌّ"" : يُمَارِسُ مِهْنَةَ العِمَارَةِ. 2.""هَنْدَسَةٌ مِعْمَارِيَّةٌ"" : هَنْدَسَةٌ مُخْتَصَّةٌ بِوَضْعِ التَّصَامِيمِ لِتَشْيِيدِ العِمَارَاتِ."	
455	مَعْنَوِيٌّ		عني		منسوب	مَعْنَى		مذكر			مفرد			Ta	DnT	Pf			Tn									"مَعْنَوِيٌّ-مَعْنَوِيٌّ، ةٌ [ع ن ي] (مَنْسُوبٌ إِلَى الْمَعْنَى). 1.""تَقْدِيرٌ مَعْنَوِيٌّ"" : أَيْ تَقْدِيرٌ فِكْرِيٌّ وذِهْنِيٌّ عَكْسُ التَّقْدِيرِ الْمَادِيِّ. ""مُسَانَدَةٌ مَعْنَوِيَّةٌ"". 2.""رَفَعَ مَعْنَوِيَّتَهُ"" : رَفَعَ مِنْ قِيمَةِ حَالَتِهِ النَّفْسِيَّةِ عِنْدَهُ. ""يَهْتَمُّ بِالْمَعْنَوِيَّاتِ أَكْثَرَ مِمَّا يَهْتَمُّ بِالْمَادِّيَّاتِ"". 3. ""الرُّوحُ الْمَعْنَوِيَّةُ"" : الرُّوحُ الخِلْقِيَّة. ""مَعْنَوِيّاً"". 4.""شَخْصٌ مَعْنَوِيٌّ، شَخْصِيَّةٌ مَعْنَوِيَّةٌ"" : أَيْ شَخْصِيَّةٌ اِعْتِبَارِيَّةٌ عَكْسَ الفَرْدَ."	
456	مِغْنَاطِيسِيٌّ		مغناطيسي		منسوب	مِغْنَاطِيسٌ		مذكر			مفرد			Ta	DnT	Pf			Tn									"مِغْنَاطِيسِيٌّ-مِغْنَاطِيسِيٌّ (مَنْسُوبٌ إِلَى الْمِغْنَاطِيس). 1.""الْمجَالُ الْمِغْنَاطِيسِيُّ"" : هِيَ الْمِنْطَقَةُ الْمحُيِطَةُ بِالْمِغْنَاطِيسِ. 2.""الإِبْرَةُ الْمَغْنَاطِيسِيَّةُ"" : قَضِيبٌ مُمَغْنَطٌ مِنَ الفُولاَذِ يُشِيرُ نَحْوَ الشَّمَالِ والجَنُوبِ إِذَا تُرِكَ طَلِيقاً. 3. ""الشَّرِيطُ الْمَغْنَاطِيسِيُّ"" : شَرِيطٌ تُسَجَّلُ عَلَيْهِ الأَصْوَاتُ بِوَاسِطَةِ أَجْهِزَةِ التَّسْجِيلِ الصَّوْتِيِّ."	
457	مَكُّوكِيٌّ		مكك		منسوب	مَكُّوكٌ		مذكر			مفرد			Ta	DnT	Pf			Tn									"مَكُّوكِيٌّ-مَكُّوكِيٌّ [م ك ك] (مَنْسُوبٌ إِلَى الْمَكُّوكِ). ""قِطَارٌ مَكُّوكِيٌّ"" : قِطَارٌ يَقُومُ بِرِحْلاَتٍ مُكَرَّرَةٍ مِنْ مَوْقِعٍ وَاحِدٍ أو أَكْثَرَ إِلَى مَوْقِعٍ آخَرَ."	
