#رقم	مشكول	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرده	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	 تنوين النصب للجمع 	شرح	
70	أَبَارِِزُ		برز		اسم تفضيل			مذكر			جمع																Non		
71	بُرْزَى		برز		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
72	أَسْرَعُ		سرع		اسم تفضيل			مذكر	سُرْعَى		مفرد	+ون;أسارع;مؤ:;سرعى;+ات			DnN		Pm										Non	"أَسْرَعُ-أَسْرَعُ [س ر ع] (أَفْعَل التَّفْضِيل). 1.""عَلَيْكَ أَنْ تُنْجِزَ هَذَا العَمَلَ بِأَسْرَعَ ما يُمْكِنُ"" : في أَقْصَرِ مُهْلَةٍ. 2.""ما أَسْرَعَهُ"": ما أَعْجَلَهُ."	
73	أَسَارِعُ		سرع		اسم تفضيل			مذكر			جمع																Non		
74	سُرْعَى		سرع		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
75	أَحْسَنُ		حسن		اسم تفضيل			مذكر	حُسْنَى		مفرد	+ون;أحَاسِنُ;مؤ:;حُسْنَى;حُسْنَيَاتٌ;			DnN		Pm										Non	"(اِسم تَفْضِيل مِنَ الحَسَنِ). 1. ""هُوَ أحْسَنُ مِنَ الآخَرِينَ"" : أفْضَل. ""أَحْسَنُ لَوْحَةٍ رَأَيْتُهَا"". 2. ""عَليْكَ أنْ تُعَامِلَ غيْرَكَ بِالَّتِي هِيَ أحْسَنُ"" : بِاللِّيَاقَةِ وَالأَدَبِ. 3. ""مِنْ أَحَاسِنِ النَّاس"" : مِنْ خِيرَتِهِمْ."	
76	أحَاسِنُ		حسن		اسم تفضيل			مذكر			جمع																Non		
77	حُسْنَى		حسن		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
78	أَنْجَعُ		نجع		اسم تفضيل			مذكر	نُجْعَى		مفرد	أناجع;مؤ:;نجعى;+ات															Non	"أَنْجَعُ-أَنْجَعُ [ن ج ع] (أَفْعَل التَّفْضِيل). ""أَنْجَعُ طَريقَةٍ لِلْعِلاجِ"" : أَنْجَحُ، أَوْفَرُ."	
79	أَنَاجِعُ		نجع		اسم تفضيل			مذكر			جمع																Non		
80	نُجْعَى		نجع		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
81	أهْلَكُ		هلك		اسم تفضيل			مذكر	هَلْكَى		مفرد	+ون;أهالك;مؤ:;هلكى;+ات			DnN		Pm										Non	"أهْلَكُ-أهْلَكُ [هـ ل ك] (أَفْعَل التَّفْضيل). ""أَهْلَكُ النَّاسِ"": أَكْثَرُهُمْ هَلاكاً."	
82	أَهَالِكُ		هلك		اسم تفضيل			مذكر			جمع																Non		
83	هَلْكَى		هلك		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
84	أقْدَمُ		قدم		اسم تفضيل			مذكر	قُدْمَى		مفرد	+ون;أقادم;مؤ:;قدمى;+ات			DnN		Pm										Non	"(أَفْعَل التَّفْضيلِ). 1. ""هَذَا مِنْ أقْدَمِ الآثَارِ"": مِنْ أعْرَقِ. 2. ""أقْدَمُ مُعَلِّمٍ فِي الْمَدْرَسَةِ"": مِنَ القُدَامى، مِنَ الأَوائِلِ. 3. : الأقَدمُ أَيِ الأسَدُ."	
85	أَقَادِمُ		قدم		اسم تفضيل			مذكر			جمع																Non		
86	قُدْمَى		قدم		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
87	أَنْبَلُ		نبل		اسم تفضيل			مذكر	نُبْلَى		مفرد	+ون;أنابل;مؤ:;هلكى;+ات			DnN		Pm										Non	"(أَفْعَل التَّفْضيلِ). 1.""مِنْ أَنْبَلِ النَّاسِ نَسَباً وَحَسَباً"" : مِنْ أَشْرَفِهِمْ وَأَكْرَمِهِمْ في حَسَبِهِ وَنَسَبِهِ. 2.""هُوَ الأنْبَلُ"" : الأَعْرَفُ بِرَمْيِ النَّبْلِ."	
88	أَنَابِلُ		نبل		اسم تفضيل			مذكر			جمع																Non		
89	نُبْلَى		نبل		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
90	أَجْوَدُ		جود		اسم تفضيل			مذكر	جُودَى		مفرد	+ون;أجاود;مؤ:;جودى;+ات			DnN		Pm										Non	"(أَفْعَلُ التَّفْضِيل). ""هوَ مِنْ أجْوَدِ النَّاسِ"" : مِنْ أَكْرَمِهِمْ."	
91	أَجَاوِدُ		جود		اسم تفضيل			مذكر			جمع																Non		
92	جُودَى		جود		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
93	أَرْذَلُ		رذل		اسم تفضيل			مذكر	رُذْلَى		مفرد	+ون;أَرَاذِلُ;			DnN		Pm										Non	"(أَفْعَلُ التَّفْضِيل). 1. ""قالَ عَنْهُ: هُوَ أَرْذَلُ خَلْقِ اللَّهِ"" : مِنْ أَسْوَإِ النَّاسِ، مِنْ أَرْدَإِ...، الدُّونُ، الخَسيسُ. ""لاَ تُصَاحِب الأَرَاذِلَ مِنَ النَّاسِ"" هود آية 27وَمَا نَرَاكَ اتَّبَعَكَ إِلاَّ الَّذِينَ هُمْ أَرَاذِلُنَا (قرآن). 2. ""بَلَغَ أَرْذَلَ العُمْرِ"" : أَيْ آخِرَ العُمْرِ فِي حَالِ الكِبَر والعَجْزِ وَالهَرَمِ."	
94	أَرَاذِلُ		رذل		اسم تفضيل			مذكر			جمع																Non		
95	رُذْلَى		رذل		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
