#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث 	مذكر	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض. لف.	ـو	ك	كال	ها	هم	تنون النصب	
746	شَوَاذٌّ		شذذ		صفة مشبهة			مذكر			جمع																Non	
747			شذذ		صفة مشبهة						جمع								Tn									
748	زَرِيٌّ		زري	فَعِيل	صفة مشبهة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"زَرِيٌّ-زَرِيٌّ[ز ر ي] (صف). 1.""وَلَدٌ زَرِيّ الْخلقِ"" : حَقيرٌ، دَمِيمٌ. 2.""قَدَّمَ لَه مَبْلَغاً زَرِيّاً لاَ يغْنِي وَلا يسْمِن"" : مَبْلَغاً تافِهاً."
749	رَتِيبٌ		رتب	فَعِيل	صفة مشبهة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"رَتِيبٌ-رَتِيبٌ، ةٌ [ر ت ب] (صف). ""جنْدِيٌّ رَتِيبٌ"" : مَنْ كَانَتْ لَه رتْبَةٌ فِي الجَيْشِ."
750	رَقْراقٌ		رقرق		(صفة مشبهة - ربــاعي)			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"رَقْراقٌ-رَقْراقٌ [ر ق ر ق] (صف). 1.""دَمْعٌ رَقْراقٌ"" : الدَّمْع الَّذِي يَغْمر العَيْنَ ولاَ يَسيل. 2.""سَرابٌ رَقْراقٌ"": لامِعٌ. 3.""ماءٌ رَقْراقٌ"" : متَلأْلِئٌ. 4.""سَحابٌ رَقْراقٌ"" : ما ذَهَبَ مِنْه وَجاءَ."
751	خَيِّرٌ		خير	فَيْعِلٌ	صفة مشبهة			مذكر			مفرد	+ون;+ات;أَخْيارٌ;خِيَارٌ		Ta	DnT	Pf	Pm		Tn			ـو						"(صف). ""رَجلٌ خَيِّرٌ"" : كَرِيمٌ، محْسِنٌ. ""اِمْرَأَةٌ خَيِّرَةٌ""."
752	أَخْيَارٌ		خير		صفة مشبهة			مذكر			جمع								Tn									
753	خِيَارٌ		خير		صفة مشبهة			مذكر			جمع								Tn									
754	دَجِيٌّ		دجو	فَعِيل	صفة مشبهة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"دَجِيّ-دَجِيّ [د ج و] (صف) ""لَيْلٌ دَجِيٌّ"" : مظْلِمٌ."
755	دَسِيسٌ		دسس	فَعِيل	صفة مشبهة			مذكر			مفرد	+ات;دسسٌ		Ta	DnT	Pf			Tn									"(صف). 1.""أرْسَلَ دَسِيساً لِيَأْتِيَه بِالأخْبَارِ"" : الْمخْبِر، الجَاسوس. 2. ""دَبَّرَ لَه دَسِيسَةً"" : الخَدِيعَة، الْمَكْر، الشَّرّ."
756	دُسُسٌ		دسس		صفة مشبهة			مذكر			جمع								Tn									
757	دَعِيٌّ		دعو	فَعِيل	صفة مشبهة			مذكر			مفرد	+ات		Ta	DnT	Pf	Pm		Tn			ـو						"دَعِيٌّ-دَعِيٌّ [د ع و] (صف). 1. ""وَلَد دَعِيٌّ"" : متَّهَمٌ فِي نَسَبِهِ. 2. ""يَا لَه مِنْ رَجلٍ دَعِيٍّ"" : مَنْ يَدَّعِي مَا لَيْسَ لَه."
758	رَواءٌ		روي	فَعَالٌ	صفة مشبهة			مؤنث			مفرد	+ات		Ta	DnT	Pf			Tn									"رَواءٌ-رَواءٌ [ر و ي] (صف). 1.""ماء العَيْنِ رَواءٌ"" : عَذْبٌ. 2.""ماءٌ رَواءٌ"" : كَثيرٌ."
759	رَوِيٌّ		روي	فَعِيل	صفة مشبهة			مذكر	رَواءٌ		مفرد	+ات		Ta	DnT	Pf	Pm		Tn			ـو						"رَوِيٌّ-رَوِيٌّ [ر و ي] (صف). ""ماءٌ رَوِيٌّ"" : كَثيرٌ يَرْوِي القَوْمَ والأَرْضَ."
760	تَوِيٌ		توي		صفة مشبهة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"تَوِيٌ-تَوِيٌ، ةٌ [ت و ي]. ""وَلَدٌ تَوِيٌ لاَ مَحالَةَ"" : هالِكٌ."
