#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرده	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنون النصب للجمع	شرح
453	هَنِيءٌ		هنأ		صفة			مذكر			مفرد								Tn									"هَنِيءٌ-هَنِيءٌ [هـ ن أ]. 1.""طَعَامٌ هَنِيءٌ"" : سَائِغٌ. 2.""كُلْهُ هَنِيئاً مَرِيئاً"" : أَيْ مُسْتَسَاغاً بِلاَ مَشَقَّةٍ، وَهُوَ دُعَاءٌ لِلأَكْلِ. 3.""هَنِيئاً لَكَ بِالنَّجَاحِ"" : لِيَكُنْ نَجَاحُكَ نَجَاحاً يُفْرِحُكَ وَيَبْعَثُ السُّرُورَ."
454	هَنِيئة		هنأ		صفة			مذكر			مفرد	+ات			DnN	Pf			Tn									
455	هَوْفٌ		هوف		صفة			مذكر			مفرد								Tn									"هُوفٌ-هُوفٌ [هـ و ف]. 1.""هُوفُ الصَّيْفِ"" : رِيحُهُ الْحَارَّةُ. 2.""هُوفُ الشِّتَاءِ"" : رِيحُهُ البَارِدَةُ. 3.""رَجُلٌ هُوفٌ"" : جَبَانٌ لاَ خَيْرَ فِيهِ. 4.""وَلَدٌ هُوفٌ"" : أَحْمَقُ."
456	هَوْمٌ		هوم		صفة			مذكر			مفرد								Tn									"هَوْمٌ-هَوْمٌ [هـ و م]. 1.""نَوْمُهُ هَوْمٌ"" : خَفِيفٌ. 2.""هَوْمُ الْمَجُوسِ"" (نب). : نَبَاتٌ مِنْ فَصِيلَةِ الصَّلِيبِيَّاتِ، أَوْرَاقُهُ تُشْبِهُ أَوْرَاقَ اليَاسَمِينَ، طَعْمُهُ مَا بَيْنَ الْحَلاَوَةِ وَالحِدَّةِ، وَهُوَ أَنْوَاعٌ، وَأَجْوَدُهُ مَا عَلَتْ زَهْرَهُ صُفْرَةٌ، يُسْتَخْرَجُ مِنْهُ دَوَاءٌ يُفَتِّتُ الْحَصَاةَ فِي الكُلْيَةِ وَيُدِرُّ البَوْلَ."
457	مَهِينٌ		هون		صفة			مذكر			مفرد	+ات;مُهَنَاءُ		Ta	DnT	Pf			Tn									". ""رَجُلٌ مَهِينٌ"": حَقِيرٌ، ذَلِيلٌ. ""قَدْ قِيلَ: لاَ تَحْتَقِرَنَّ الْعَدُوَّ الضَّعِيفَ الْمَهِينَ"". (ابن المقفع)."
458	مُهَنَاءُ		هون		صفة			مذكر			جمع		مَهِينٌ														Non	
459	هَيِّنٌ		هون		صفة			مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									"هَيِّنٌ-هَيِّنٌ [هـ و ن]. 1.""سُلُوكٌ هَيِّنٌ"" : حَقِيرٌ. 2.""رَجُلٌ هَيِّنٌ"" : وَقُورٌ مُتَسَامِحٌ. 3.""عَمَلٌ هَيِّنٌ"" : سَهْلٌ، يَسِيرٌ. النور آية 15وَتَحْسَبُونَهُ هَيِّناً وَهُوَ عِنْدَ اللَّهِ عَظِيم. (قرآن)."
460	مَهِيبٌ		هيب		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"مَهِيبٌ-مَهِيبٌ [هـ ي ب]. ""شَيْخٌ مَهِيبٌ"" : مَنْ يَخَافُهُ النَّاسُ. ""مَهِيبُ الطَّلْعَةِ"" ""إِنْ كَانَ مَهِيباً فَفِي الرِّجَالِ مَنْ هُوَ أَهْيَبُ""."
461	هَيْقٌ		هيق		صفة			مذكر			مفرد	+ات;أَهْيَاقٌ;هُيُوقٌ		Ta	DnT	Pf			Tn									". 1.""اِمْرَأَةٌ هَيْقَةٌ"" : دَقِيقَةٌ وَمُفْرِطَةٌ فِي الطُّولِ. وَمَا لَيْلَى مِنَ الْهَيْقَاتِ طُـولا*وَلاَ لَيْلَى مِنَ الْحَـذَفِ القِصَار2. : ذَكَرُ النَّعَامِ، سُمِّيَ بِذَلِكَ لِطُولِهِ."
462	أَهْيَاقٌ 		هيق		صفة			مذكر			جمع		هَيْقٌ															
463	هُيُوقٌ		هيق		صفة			مذكر			جمع		هَيْقٌ															
464	وَأْبٌ		وأب		صفة			مذكر			مفرد	+ات;أَوْآبٌ		Ta	DnT	Pf			Tn									". 1.""حَافِرٌ وَأْبٌ"" : شَدِيدٌ، مُنْضَمُّ السَّنَابِكِ. 2.""قَدَحٌ وَأْبٌ"" : ضَخْمٌ وَوَاسِعٌ. ""قِدْرٌ وَأْبَةٌ خَاصَّةٌ بِالضُّيُوفِ"". 3.""اِمْرَأَةٌ وَأْبَةٌ"" : قَصِيرَةٌ وَعَرِيضَةٌ. 4.""بِئْرٌ وَأْبَةٌ"" : وَاسِعَةٌ، بَعِيدَةُ القَعْرِ."
465	أَوْآبٌ		وأب		صفة			مذكر			جمع		وَأْبٌ															
466	وَثْبَى		وثب		صفة			مذكر			مفرد	+ات			Dy	Pf											Non	"وَثْبَى-وَثْبَى [و ث ب]. ""نَاقَةٌ وَثْبَى"" : سَرِيعَةُ الوُثُوبِ، القَفْزِ. ""فَرَسٌ وَثْبَى""."
467	وَجَنٌ		وجن		صفة			مذكر			مفرد								Tn									"وَجَنٌ-وَجَنٌ [و ج ن]. ""مَكَانٌ وَجَنٌ"" : أَيْ مَكَانٌ صَلْبٌ ذُو حِجَارَةٍ."
468	وِجَاهٌ		وجه		صفة			مذكر			مفرد								Tn									"وِجَاهٌ-وِجَاهٌ [و ج هـ]. 1. ""لَقِيتُهُ وِجَاهاً"" : لَقِيتُهُ وَجْهاً لِوَجْهِ. 2. ""وِجَاهَ السَّاعَةِ الوَاحِدَةِ"" : حَوَالَيْ."
469	مَوْحُوشَةٌ		وحش		صفة			مذكر			مفرد								Tn									"مَوْحُوشَةٌ-مَوْحُوشَةٌ [و ح ش]. ""أَرْضٌ مَوْحُوشَةٌ"" : كَثِيرَةُ الوَحْشِ."
470	وَحْشَةٌ		وحش		صفة			مذكر			مفرد								Tn									"وَحْشَةٌ-وَحْشَةٌ [و ح ش]. 1.""وَجَدَ نَفْسَهُ فِي أَرْضٍ وَحْشَةٍ"" : فِي أَرْضٍ قَفْرٍ مُسْتَوْحَشَةٍ. 2.""اِنْعَزَلَ فِي وَحْشَةٍ"" : فِي خُلْوَةٍ. 3.""وَحْشَةُ القَبْرِ"" :"
471	وَدَجٌ		ودج		صفة			مذكر			مفرد	أَوْدَاجٌ			DnN				Tn									". ""وَدَجُ العُنُقِ"" : عِرْقٌ فِي العُنُقِ يَنْتَفِخُ عِنْدَ الغَضَبِ، وَهُمَا وَدَجَانِ. ""اِنْتَفَخَتْ أَوْدَاجُهُ""."
472	أَوْدَاجٌ		ودج		صفة			مذكر			جمع		وَدَجٌ															
473	وَخْمَةٌ		وخم		صفة			مذكر			مفرد								Tn									"وَخْمَةٌ - [و خ م]. ""أَرْضٌ وَخْمَةٌ"" : وَبِيئَةٌ. "
474	وَسْمِيٌّ		وسم		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"وَسْمِيٌّ-وَسْمِيٌّ [و س م]. ""مَطَرُ الوَسْمِيِّ"" : أَوَّلُ مَطَرِ الرَّبِيعِ."
475	وَسْنَانٌ		وسن		صفة			مذكر			مفرد								Tn									"وَسْنَانٌ-وَسْنَانٌ [و س ن]. ""رَجَلٌ وَسْنَانٌ"" : نَاعِسٌ، أَي الَّذِي غَلَبَهُ النُّعَاسُ."
476	وَشْوَاشٌ		وشوش		صفة			مذكر			مفرد								Tn									"وَشْوَاشٌ-وَشْوَاشٌ [و ش و ش]. ""وَلَدٌ وَشْوَاشٌ"" : سَرِيعٌ، خَفِيفٌ، وَشْوَشٌ."
477	وَشْوَشٌ		وشوش		صفة			مذكر			مفرد								Tn									"وَشْوَشٌ-وَشْوَشٌ [و ش و ش]. ""وَلَدٌ وَشْوَشٌ"" : سَرِيعٌ، خَفِيفٌ، وَشْوَاشٌ."
478	وَفِيٌّ		وفي		صفة			مذكر			مفرد	+ون;+ات;أَوْفِيَاءُ		Ta	DnT	Pf	PmS		Tn									". 1.""عَمَلٌ وَفِـيٌّ"" : تَامٌّ. 2.""صَدِيقٌ وَفِيٌّ"" : مُخْلِصٌ، مُلْتَزِمٌ بِالوَفَاءِ وَالإِخْلاَصِ، كَثِيرُ الوَفَاءِ."
479	أَوْفِيَاءُ		وفي		صفة			مذكر			جمع		وَفِيٌّ														Non	
480	وَهْدٌ		وهد		صفة			مذكر			مفرد	أَوْهُدٌ;وُهْدَانٌ			DnN				Tn									". ""مَكَانٌ وَهْدٌ"" : مُنْخَفِضٌ، بِهِ هُوَّةٌ."
481	أَوْهُدٌ 		وهد		صفة			مذكر			جمع		وَهْدٌ															
482	وُهْدَانٌ		وهد		صفة			مذكر			جمع		وَهْدٌ															
483	وَهْنَانَةٌ		وهن		صفة			مذكر			مفرد								Tn									"وَهْنَانَةٌ-وَهْنَانَةٌ [و هـ ن]. ""اِمْرَأَةٌ وَهْنَانَةٌ"" : كَسْلَى عَنِ العَمَلِ تَنَعُّماً وَتَبَخْتُراً."
484	وَهْوَاهٌ		وهوه		صفة			مذكر			مفرد								Tn									"وَهْوَاهٌ-وَهْوَاهٌ [و هـ و هـ]. 1.""فَرَسٌ وَهْوَاهٌ"" : نَشِيطٌ، حَدِيدٌ، مُتَحَفِّزٌ، نَزِقٌ، وَهْوَهٌ. 2.""رَجُلٌ وَهْوَاهٌ"" : جَبَانٌ. 3.""أَسَدٌ وَهْوَاهٌ"" : زَائِرٌ."
485	وَهْوَهٌ		وهوه		صفة			مذكر			جمع								Tn									"وَهْوَهٌ-وَهْوَهٌ [و هـ و هـ]. ""فَرَسٌ وَهْوَهٌ"" : نَشِيطٌ، حَدِيدٌ، مُتَحَفِّزٌ، نَزِقٌ، وَهْواهٌ."
486	يَبَابٌ		يبب		صفة			مذكر			مفرد								Tn									"يَبَابٌ-يَبَابٌ [ي ب ب]. 1.""اِنْتَهَتِ الْحَرْبُ وَبَقِيَتِ الْمَدِينَةُ يَبَاباً"" : خَرَاباً. 2.""وَجَدُوا الْقَرْيَةَ يَبَاباً "" : مَهْجُورَةً. ""الأَرْضُ اليَبَابُ""."
487	يَبَسَةٌ		يبس		صفة			مذكر			مفرد								Tn									"يَبَسَةٌ-يَبَسَةٌ [ي ب س]. ""أَتَانٌ يَبَسَةٌ"" : ضَامِرَةٌ، يَابِسَةٌ."
488	يَبْسَةٌ		يبس		صفة			مذكر			مفرد								Tn									"يَبْسَةٌ-يَبْسَةٌ [ي ب س]. ""أَتَانٌ يَبْسَةٌ"" : ضَامِرَةٌ، يَابِسَةٌ."
489	يَبَسٌ		يبس		صفة			مذكر			مفرد	أَيْبَاسٌ			DnN				Tn									". 1.""أَرْضٌ يَبَسٌ"" : صُلْبَةٌ، شَدِيدَةٌ. 2.""مَكَانٌ يَبَسٌ"" : يَابِسٌ، كَانَ فِيهِ مَاءٌ فَذَهَبَ. طه آية 77فَاضْرِبْ لَهُمْ طَرِيقاً فِي ال"
490	أَيْبَاسٌ		يبس		صفة			مذكر			جمع		يَبَسٌ															
491	يَسِيرٌ		يسر		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"يَسِيرٌ-يَسِيرٌ [ي س ر]. 1.""طَعَامٌ يَسِيرٌ"" : قَلِيلٌ. ""مَنْ طَلَبَ الْكَثِيرَ أَضَاعَ الْيَسِيرَ"". 2.""عَمَلٌ يَسِيرٌ"" : سَهْلٌ، لَيِّنٌ. ""مَا دَخَلَ عَسِيراً لَمْ يَخْرُجْ يَسِيراً"".(ابن حزم) l ""ضَرَبَهُ ضَرْباً يَسِيراً""."
492	يَفَعٌ		يفع		صفة			مذكر			مفرد	أَيْفَاعٌ			DnN				Tn									". ""وَلَدٌ يَفَعٌ"" : يَافِعٌ، بَالِغٌ سِنَّ الْبُلُوغِ، مُتَرَعْرِعٌ."
493	أَيْفَاعٌ		يفع		صفة			مذكر			جمع		يَفَعٌ															
494	يَلَقٌ		يلق		صفة			مذكر			مفرد								Tn									"يَلَقٌ-يَلَقٌ [ي ل ق]. ""بَقَرٌ يَلَقٌ"" : أَبْيَضُ، وَتُطْلَقُ عَلَى الْبِيضِ مِنَ الْبَقَرِ. ""يَلَقٌ أَبْيَضُ""."
495	أَيَلٌّ		يلل		صفة			مذكر			مفرد																Non	"أَيَلُّ-أَيَلُّ [ي ل ل]. "" وَلَدٌ أَيَلُّ "" : أَسْنَانُهُ قَصِيرَةٌ مُلْتَزِقَةٌ مُقْبِلَةٌ عَلَى دَاخِلِ الْفَمِ."
496	مِبْدان		يلل		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									رجل مبدان
497	حابِلَةٌ		حبل		صفة			مذكر			مفرد	+ات;حَبَلَةٌ			DnN	Pf			Tn									". ""اِمْرَأَةٌ حابِلَةٌ"" : حُبْلَى."
498	حَبَلَةٌ		حبل		صفة			مذكر			جمع		حابِلَةٌ															
499	وَسَنِيٌّ		وسن		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"وَسَنِيٌّ-وَسَنِيٌّ، ةٌ [و س ن]. ""وَلَدٌ وَسَنِيٌّ"" :كَثِيرُ النُّعَاسِ."
500	نِسْبِيٌّ		نسب		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"نِسْبِيٌّ،-نِسْبِيٌّ، ةٌ [ن س ب]. ""أَمْرٌ نِسْبِيٌّ"" : أَيْ أَمْرٌ مُقَيَّدٌ بِغَيْرِهِ مُرْتَبِطٌ بِهِ غَيْرُ مُطْلَقٍ. ""أَحْكَامٌ نِسْبِيَّةٌ"" ""هُنَاكَ عَلاَقَةٌ نِسْبِيَّةٌ بَيْنَ العَمَلِ وَمَرْدُودِهِ""."
501	مِسْكِيٌّ		مسك		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"مِسْكِيٌّ-مِسْكِيٌّ، ةٌ [م س ك]. ""عِنَبٌ مِسْكِيٌّ"" : لَهُ طَعْمُ الْمِسْكِ، مُمَسَّكٌ. كَأْسُ عَصِيرٍ مِسْكِيٌّ""."
502	مُقْرِفٌ		قرف		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									". 1.""رَجُلٌ مُقْرِفٌ"" : نَذْلٌ، دَنِيءٌ. 2.""وَجْهٌ مُقْرِفُ"" : غَيْرُ حَسَنٍ."
503	أَرْيَحِيٌّ		روح		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn							ـو		"أَرْيَحِيٌّ-أَرْيَحِيٌّ، ةٌ [ر و ح]. 1.""رَجُلٌ أَرْيَحِيٌّ"" : الوَاسِعُ الخُلُقِ، مَنْ يَسْعَى إِلَى الْمَعْرُوفِ وَعَمَلِ الخَيْرِ. 2.""يَتَمَتَّعُ بِأَرْيَحِيَّةٍ"" : خَصْلَةٌ تَجْعَلُ الإِنْسَانَ يَرْتَاحُ إِلَى الأَفْعَالِ الحَمِيدَةِ وَبَذْلِ العَطَايَا."
504	جِدِّيٌّ		جدد		صفة			مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn									". ""رَجُلٌ جِدِّيٌّ"" : مُتَعَقِّلٌ، ثَابِتٌ فِي رَأْيِهِ، رَصِينٌ."
505	بَغِيٌّ		بغي		صفة			مذكر			مفرد	بَغايا		Ta	DnT				Tn									". ""اِمْرَأَةٌ بَغِيٌّ"" : اِمْرَأَةٌ زانِيَةٌ.مريم آية 20 قالَتْ أَنَّى يَ"
506	بَغايا		بغي		صفة			مذكر			جمع		بَغِيٌّ														Non	
507	حَيِيٌّ		حيي		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"حَيِيٌّ-حَيِيٌّ [ح ي ي]. ""رَجُلٌ حَيِيٌّ"" : مُحْتَشِمٌ، ذُو حَيَاءٍ."
508	دَيُّوثٌ		ديث		صفة			مذكر			مفرد								Tn									"دَيُّوثٌ-دَيُّوثٌ [د ي ث]. ""رَجُلٌ دَيُّوثٌ"" : رَجُلٌ لا يَغارُ على أَهْلِهِ وَلا يَخْجَلُ."
509	سَمِيٌّ		سمي		صفة			مذكر			مفرد	+ون;+ات;		Ta	DnT	Pf	PmS		Tn									"سَمِيٌّ - [س م ي]. ""هُوَ سَمِيُّهُ"" : مُتَّفِقٌ مَعَهُ فِي الاسْمِ، نَظِيرُهُ"
510	أَتِيٌّ		أتي		صفة			مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn									"أَتِيٌّ-أَتِيٌّ [أ ت ي]. 1.""وَصَلَ الأَتِيُّ"" : الغَرِيبُ الدَّعِيُّ. 2.""اِنْدَفَعَ الأتِيُّ"" : السَّيْلُ الْمُنْدَفِعُ الَّذِي يَأْتِي مِنْ بَعِيدٍ."
511	دُفُفٌ		دفف		صفة			مذكر			جمع		دَفوفٌ						Tn									"أَتِيٌّ-أَتِيٌّ [أ ت ي]. 1.""وَصَلَ الأَتِيُّ"" : الغَرِيبُ الدَّعِيُّ. 2.""اِنْدَفَعَ الأتِيُّ"" : السَّيْلُ الْمُنْدَفِعُ الَّذِي يَأْتِي مِنْ بَعِيدٍ."
