#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرده	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنون النصب للجمع	شرح
309	قَيِّمٌ		قيم		صفة			مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									"قَيِّمَةٌ - [ق ي م]. 1.""أُمَّةٌ قَيِّمَةٌ"" : مُسْتَقِيمَةٌ، مُعْتَدِلَةٌ. 2.""دِينُ القَيِّمَةِ"" : أَي دِينُ الأُمَّةِ القَيِّمَةِ.  البينة آية 5وَذَلِكَ دِينُ الْقَيِّمَةِ (قرآن). 3.""كُتُبٌ قَيِّمَةٌ"" : مُسْتَقِيمَةٌ تُبَيِّنُ الحَقَّ مِنَ البَاطِلِ. "
310	مَكْبُودٌ		كبد		صفة			مذكر			مفرد								Tn									"مَكْبُودٌ-مَكْبُودٌ [ك ب د]. ""رَجُلٌ مَكْبُودٌ"" : مُصَابٌ بِدَاءِ الكَبِدِ."
311	كَتْكَاتٌ		كتكت		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"كَتْكَاتٌ-كَتْكَاتٌ [ك ت ك ت]. ""وَلَدٌ كَتْكَاتٌ"" : مُسْرِعٌ فِي كَلاَمِهِ، أَي يَصِلُ بَعْضَهُ بِبَعْضِهِ."
312	كُثْرٌ		كثر		صفة			مذكر			مفرد								Tn									"كُثْرٌ-كُثْرٌ [ك ث ر]. 1.""لَهُ مَالٌ كُثْرٌ"" : كَثِيرٌ. 2.""كُثْرُ الشَّيْءِ"" : مُعْظَمُهُ."
313	كُدَاسَةٌ		كدس		صفة			مذكر			مفرد								Tn									"كُدَاسَةٌ - [ك د س]. ""وَجَدَ الأَثَاثَ وَالكُتُبَ كُدَاسَةً"" : مَا تَرَاكَمَ مِنْهَا بَعْضُهُ فَوْقَ بَعْضٍ. "
314	مَكْرَمَةٌ		كرم		صفة			مذكر			مفرد	مَكَارِمُ			DnN				Tn									". 1.""رَجُلٌ مَكْرَمَةٌ"" : كَرِيمٌ. 2.""أَرْضٌ مَكْرَمَةٌ"" : صَالِحَةٌ جِدّاً للنَّبَاتِ، خِصْبَةٌ، جَيِّدَةُ التُّرْبَةِ."
315	مَكَارِمُ		كرم		صفة			مذكر			جمع																Non	
316	كَرِيٌّ		كري		صفة			مذكر			مفرد	+ات;أَكْرِيَاءُ		Ta	DnT	Pf			Tn									". 1.""وَلَدٌ كَرِيٌّ"" : نَاعِسٌ، نَائِمٌ. 2.""هُوَ الكَرِيُّ"" : الْمُكْتَرِي، الأَجِيرُ."
317	أَكْرِيَاءُ		كري		صفة			مذكر			جمع																Non	
318	كَفْءٌ		كفأ		صفة			مذكر			مفرد	أَكْفَاءٌ;كِفَاءٌ			Dz				Tn									". 1.""هُوَ كَفْءٌ لَهُ"": مِثْلُهُ، نَظِيرُهُ. 2.""مُوَظَّفٌ كَفْءٌ"" : كُفْؤٌ، مُقْتَدِرٌ."
