#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح
475	عَكِشٌ		عكش	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"عَكِشٌ-عَكِشٌ، ةٌ [ع ك ش] (صِيغَةُ فَعِل). 1.""شَعْرٌ عَكِشٌ"" : مُتَجَعِّدٌ، مُتَلَبِّدٌ. 2.""شَجَرَةٌ عَكِشَةٌ"" : فُرُوعُهَا كَثِيرَةٌ وَمُلْتَفَّةٌ."
476	عَلِكٌ		علك	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"عَلِكٌ-عَلِكٌ [ع ل ك] (صِيغَةُ فَعِل). ""طَعَامٌ"
477	عَلِنٌ		علن	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"عَلِنٌ-عَلِنٌ [ع ل ن] (صِيغَةُ فَعِل). ""أَمْرٌ عَلِنٌ"" : صَارَ عَلاَنِيَةً، ظاهِرٌ."
478	عَمِدٌ		عمد	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"عَمِدٌ-عَمِدٌ [ع م د] (صِيغَةُ فَعِل). 1.""مَكَانٌ عَمِدٌ"": مُبَلَّلٌ بِالْمَطَرِ. 2.""عَمِدُ الثرَّى"" : أَيْ كَثِيرُ الْمَعْرُوفِ."
479	عَنِتٌ		عنت	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"عَنِتٌ-عَنِتٌ [ع ن ت] (صِيغَةُ فَعِل). ""عَظْمٌ عَنِتٌ"" : عَظْمٌ اِنْكَسَرَ بَعْدَ الْجَبْرِ."
480	عَوِرٌ		عور	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"عَوَرٌ-عَوَرٌ [ع و ر] (مص. عَوِرَ). ""بِهِ عَوَرٌ"" : قُبْحٌ."
481	عَوِزٌ		عوز	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"عَوَزٌ-عَوَزٌ [ع و ز] (مص. عَوِزَ). ""يَعيشُ في عَوَزٍ"" : ضَيْق، فَقْر، حاجة. ""وَقَدْ"
482	غَبِرٌ		غبر	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"غَبَرٌ-غَبَرٌ [غ ب ر] (مص. غَبِرَ). 1.""أَثَارَ الغَبَرَ"" : الغُبَارَ. 2.""دَاهِيَةُ الغَبَرِ"" : بَلِيَّةٌ أَوْ مُصِيبَةٌ لاَ تَكَادُ تَذْهَبُ. 3.: البَقَاءُ."
483	غَبِشٌ		غبش	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"غَبِشٌ-غَبِشٌ [غ ب ش] (صِيغَةُ فَعِل). ""لَيْلٌ غَبِشٌ"" : مُظْلِمٌ."
484	غَدِقٌ		غدق	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"غَدَقٌ-غَدَقٌ [غ د ق] (مص. غَدِقَ). 1.""غَمَرَ الغَدَقُ الْهِضَابَ وَالسُّهُولَ"" : الْمَاءُ الغَامِرُ الكَثِيرُ.الجن آية 16 لأَسْقَيْناَهُمْ مَاءً غَدَقاً (قرآن). 2.""غَدَقُ العُشْبِ"" : بَلَلُهُ، رَيُّهُ."
485	غَرِدٌ		غرد	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"غَرِدٌ-غَرِدٌ [غ ر د] (صِيغَةُ فَعِل). ""طَائِرٌ غَرِدٌ"" : مُغَرِّدٌ، غِرِّيدٌ."
486	غَرِقٌ		غرق	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"غَرِقٌ-غَرِقٌ [غ ر ق] (صِيغَةُ فَعِل). 1.""حَاوَلَ أَنْ يُنْقِذَ الغَرِقَ مِنَ الغَرَقِ"" : مَنْ غَلَبَهُ الْمَاءُ بِالاخْتِنَاقِ أَوْ كَادَ. 2.""غَرِقٌ فِي هُمُومِهِ وَأَحْزَانِهِ"" : غَائِصٌ فِيهَا."
487	غَزِلٌ		غزل	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"غَزْلٌ-غَزْلٌ [غ ز ل] (مص. غَزَلَ). ""تَعَلَّمَ"
488	غَضِبٌ		غضب	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"غَضَبٌ-غَضَبٌ [غ ض ب] (مص. غَضِبَ). ""رَأَيْتُ الغَضَبَ بَادِياً عَلَى وَجْهِهِ"" : ظُهُورُ عَلاَمَاتِ الانْفِعَالِ وَالتَّشَنُّجِ عِنْدَ الْمَيْلِ إِلَى الاعْتِدَاءِ."
489	غَضِرٌ		غضر	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"غَضَرٌ-غَضَرٌ [غ ض ر] (مص. غَضِرَ). ""جَاءَ الغَضَرُ بَعْدَ جَفَافٍ"" : الْخِصْبُ."
490	غَلِقٌ		غلق	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"غَلِقٌ-غَلِقٌ، ةٌ [غ ل ق] (صِيغَةُ فَعِل). 1.""كَلاَمٌ غَلِقٌ"" : مُبْهَمٌ، مُلْتَبِ"
491	غَلِمٌ		غلم	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"غَلِمٌ-غَلِمٌ [غ ل م] (صِيغَةُ فَعِل). ""شَابٌّ"
492	غَمِقٌ		غمق	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"غَمَقٌ-غَمَقٌ [غ م ق] (مص. غَمِقَ). ""اِك"
493	غَنِجٌ		غنج	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"غَنِجٌ-غَنِجٌ [غ ن ج] (صِيغَةُ فَعِل). ""وَلَدٌ غَنِجٌ"" : ذُو غُنْجٍ، أَيْ ذُو دَلاَلٍ."
494	فَرِحٌ		فرح	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِل). ""رَجُلٌ فَرِحٌ"" : فَرْحَانُ، مَسْرُورٌ، فَرِحٌ."
495	فَرِدٌ		فرد	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"فَرِدٌ-فَرِدٌ [ف ر د] (صِيغَةُ فَعِل). 1.""جَاءَ فَرِداً"" : وَاحِداً."
496	فَرِغٌ		فرغ	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"فَرِغٌ-فَرِغٌ [ف ر غ] (صِيغَةُ فَعِل). ""إِنَاءٌ فَرِغٌ"" : فَارِغٌ، خَالٍ."
497	فَرِقٌ		فرق	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"فَرِقٌ - [ف ر ق]. (صِيغَةُ فَعِل). 1.""رَجُلٌ فَرِقٌ"" : شَدِيدُ الفَزَعِ وَالْخَوْفِ. 2.""نَبْتٌ فَرِقٌ"" : صَغِيرٌ لَمْ يُغَطِّ الأَرْضَ"
498	فَرِكٌ		فرك	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"فَرِكٌ-فَرِكٌ [ف ر ك] (صِيغَةُ فَعِل). ""لَوْزٌ فَرِكٌ"" : مُتَفَرِّكٌ قِشْرُهُ."
499	فَسِخٌ		فسخ	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"فَسِخٌ-فَسِخٌ [ف س خ] (صِيغَةُ فَعِل). ""رَأْيٌ فَسِخٌ"" : فَاسِدٌ."
500	فَطِنٌ		فطن	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;فُطْنٌ;فُطُنٌ;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِل). ""وَلَدٌ فَطِنٌ"" : فَاطِنٌ، نَابِهٌ. ""وَلَدٌ فَاطِنٌ شَدِيدُ الْفِطْنَةِ""."
503	فَكِهٌ		فكه	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"فَكِهٌ-فَكِهٌ [ف ك هـ] (صِيغَةُ فَعِل). ""رَجُلٌ فَكِهٌ"
504	فَهِمٌ		فهم	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"فَهِمٌ-فَهِمٌ [ف هـ م] (صِيغَةُ فَعِل). ""رَجُلٌ فَهِمٌ"" : سَرِيعٌ الإِدْرَاكِ وَالإِحَاطَةِ بِالشَّيْءِ."
505	قَحِطٌ		قحط	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"قَحِطٌ-قَحِطٌ، ةٌ [ق ح ط] (صِيغَةُ فَعِل). ""بَ"
506	قَذِرٌ		قذر	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"قَذِرٌ-قَذِرٌ [ق ذ ر] (صِيغَةُ فَعِل). 1.""مَكَانٌ قَذِرٌ"" : وَسِخٌ. 2.""رَجُلٌ قَذِرٌ"" : خَبِيثٌ، دَنِيءٌ، خَسِيسٌ."
507	قَذِعٌ		قذع	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"قَذَعٌ-قَذَعٌ [ق ذ ع]. 1.""رَمَاهُ بِالقَذِعِ"" : بِفُحْشِ الكَلاَمِ. 2.""قَذَعُ الثَّوْبِ"" : وَسَخُهُ. 3.""أَمْرٌ قَذَعٌ"" : فَاحِشٌ."
508	قَرِحٌ		قرح	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"قَرَحٌ-قَرَحٌ [ق ر ح] (مص. قَرَحَ). ""قَرَحُ الْجِلْدِ"" : خُرُوجُ قُرُوحٍ بِهِ."
509	قَرِعٌ		قرع	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"قَرِعٌ-قَرِعٌ، ةٌ [ق ر ع] (صِيغَةُ فَعِل). 1.""رَجُلٌ قَرِعٌ"" : لاَ يَنَامُ. 2.""ظُفْرٌ قَرِعٌ"" : فَاسِدٌ. 3.""أَرْضٌ قَرِعَةٌ"" : لاَ تُنْبِتُ شَيْئاً."
510	قَزِمٌ		قزم	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"قَزِمٌ-قَزِمٌ [ق ز م] (صِيغَةُ فَعِل). ""رَجُلٌ قَزِمٌ"" : صَغِيرُ الْجُثَّةِ قصيرُ القَدِّ. 2.""هُوَ قَزِمٌ"" : لَئِيمٌ."
511	قَشِبٌ		قشب	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"قَشِبٌ-قَشِبٌ [ق ش ب] (صِيغَةُ فَعِل). 1.""اِرْتَدَى قَمِيصاً قَشِباً"" : جَدِيداً، نَظِيفاً. 2.""سَيْفٌ قَشِبٌ"" : حَدِيثُ عَهْدٍ بِالْجِلاَءِ."
512	قَطِبٌ		قطب	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"قَطِبٌ-قَطِبٌ [ق ط ب] (صِيغَةُ فَعِل). ""رَجُلٌ قَطِبٌ"" : عَابِسٌ وَقَدْ ضَمَّ حَاجِبَيْهِ."
513	قَطِمٌ		قطم	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"قَطِمٌ-قَطِمٌ [ق ط م] (صِيغَةُ فَعِل). 1.""هُوَ قَطِمٌ"""
514	قَعِسٌ		قعس	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"قَعِسٌ-قَعِسٌ [ق ع س] (صِيغَةُ فَعِل). ""رَجُلٌ قَعِسٌ"" : خَرَجَ صَدْرُهُ وَدَخَلَ ظَهْرُهُ خِلْقَةً."
515	قَلِقٌ		قلق	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"قَلَقٌ-قَلَقٌ [ق ل ق] (مص. قَلِقَ). ""اِشْتَدَّ بِهِ القَلَقُ"" "
516	قَمِرٌ		قمر	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"قَمِرٌ-قَمِرٌ [ق م ر] (صِيغَةُ فَعِل). 1.""مَاءٌ قَمِ"
517	قَمِلٌ		قمل	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"قَمِلٌ-قَمِلٌ [ق م ل] (صِيغَةُ فَعِل). ""رَجُلٌ قَمِلٌ"" : ذُو قَمْلٍ."
518	قَمِنٌ		قمن	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"قَمِنٌ-قَمِنٌ، ةٌ [ق م ن] (صِيغَةُ فَعِل). ""رَجُ"
519	قَنِطٌ		قنط	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"قَنِطٌ-قَنِطٌ [ق ن ط] (صِيغَةُ فَعِل). ""وَجَدَهُ قَنِطاً"" : يَائِساً."
520	كَئِبٌ		كءب	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"كَئِبٌ-كَئِبٌ [ك أ ب] (صِيغَةُ فَعِل). ""رَجُلٌ كَئِبٌ"" : حَزِينٌ، مَهْمُومٌ، مُنْكَسِرُ النَّفْسِ."
521	كَدِرٌ		كدر	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"كَدَرٌ-كَدَرٌ [ك د ر] (مص. كَدِرَ). 1.""يَعِيشُ فِي كَدَرٍ"" : فِي غَمٍّ ، فِي كَآ"
522	كَرِهٌ		كره	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"كَرِهٌ-كَرِهٌ [ك ر هـ] (صِيغَةُ فَعِل). ""وَجْهٌ كَرِهٌ"": قَبِيحٌ،كَرِيهٌ، مَا لاَ تَحْتَمِلُهُ النَّفْسُ."
523	كَسِلٌ		كسل	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"كَسَلٌ-كَسَلٌ [ك س ل] (مص. كَسِلَ). ""أَعْرِفُ سَبَبَ كَسَلِهِ"" : سَبَبَ فُتُورِهِ، تَهَاوُنِهِ."
524	كَلِفٌ		كلف	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"كَلِفٌ-كَلِفٌ [ك ل ف] (صِيغَةُ فَعِل). ""كَانَ كَلِفاً بِهَا"" : مُحِبّاً لَهَا حُبّاً شَدِيداً، عَاشِقٌ وَلْهَانُ."
525	كَنِزٌ		كنز	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"كَنِزٌ-كَنِزٌ [ك ن ز] (صِيغَةُ فَعِل). ""رَجُلٌ"
526	لَبِدٌ		لبد	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"لُبَدٌ-لُبَدٌ [ل ب د]. 1.""تَرَكَ لَهُ لُبَداً"" : مَالاً كَثِيراً. البلد آية 6 يَقُولُ أَهْلَكْتُ مَالاً لُبَداً (قرآن). 2.""النَّاسُ لُبَداً"" : مُجْتَمِعُونَ."
527	لَبِقٌ		لبق	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِل). ""رَجُلٌ لَبِقٌ فِي تَصَرُّفَاتِهِ"" : فَطِنٌ، مَنْ لَهُ مَعْرِفَةٌ فِي آدَابِ السُّلُوكِ وَالْمُعَاشَرَةِ."
528	لَبِكٌ		لبك	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"لَبِكٌ-لَبِكٌ [ل ب ك] (صِيغَةُ فَعِل). ""أَمْرٌ لَبِكٌ"" : مُلْتَبِسٌ، مُخْتَلِطٌ."
529	لَزِبٌ		لزب	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"لَزِبٌ-لَزِبٌ [ل ز ب] (صِيغَةُ فَعِل). 1.""طَرِيقٌ لَزِبٌ"" "
530	لَسِنٌ		لسن	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"لَسَنٌ-لَسَنٌ [ل س ن] (مص. لَسِنَ). ""لَسَنُ اللُّغَةِ"" : فَصَاحَتُهَا."
531	لَهِفٌ		لهف	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;لَهْفَى;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِل). ""وَجَدْتُهُ لَهِفاً"" : مُتَحَسِّراً، حَزِيناً عَلَى مَا مَضَى."
533	لَوِزٌ		لوز	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"لَوِزٌ-لَوِزٌ [ل و ز] (صِيغَةُ فَعِل). ""إِنَّهُ لَعَوِزٌ لَوِزٌ"" : مُحْتَاجٌ."
534	مَذِقٌ		مذق	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"مَذِقٌ-مَذِقٌ [م ذ ق] (صِيغَةُ فَعِل). ""لَبَنٌ مَذِقٌ"" : مَمْزُوجٌ بِالْمَاءِ."
535	مَرِسٌ		مرس	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;أَمْرَاسٌ;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِل). 1.""طَبِيبٌ مَرِسٌ"" : شَدِيدٌ فِي العِلاَجِ وَالْمُمَارَسَةِ. 2.""قَائِدٌ مَرِسٌ"" : مُجَرِّبٌ فِي الْحُرُوبِ."
537	مَرِعٌ		مرع	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"مَرِعٌ-مَرِعٌ،ةٌ [م ر ع] (صِيغَةُ فَعِل). 1.""مَكَانٌ مَرِعٌ"" : خَصِيبٌ. 2.""رَجُلٌ مَرِعٌ"" : يَطْلُبُ الْمَرْعَ."
538	مَرِنٌ		مرن	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"مَرِنٌ-مَرِنٌ [م ر ن] (صِيغَةُ فَعِل). ""رَجُلٌ مَرِنٌ"" : ذُو مُرُونَةٍ، غَيْرُ مُتَصَلِّبٍ."
539	مَضِرٌ		مضر	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"مَضِرٌ-مَضِرٌ [م ض ر] (صِيغَةُ فَعِل). 1.""طَعْمٌ مَضِرٌ"" : حَامِضٌ. 2.""عَيْشٌ مَضِرٌ"" : نَاعِمٌ. 3.""ذَهَبَ دَمُهُ خَضِراً مَضِراً"": هَدَراً."
540	نَبِهٌ		نبه	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;نُبَهَاءُ;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِل). ""وَلَدٌ نَبِهٌ"" : ذُو نَبَاهَةٍ وَفِطْنَةٍ."
542	نَتِنٌ		نتن	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"نَتِنٌ-نَتِنٌ، ةٌ [ن ت ن] (صِيغَةُ فَعِل). ""لَحْمٌ نَتِنٌ"" : كَرِيهُ الرَّائِحَةِ، خَبِيثٌ. ""هَبَّتْ نَسْمَةُ رِيحٍ وَحَمَلَتْ إِلَى أَنْفِهِ رَائِحَةً نَتِنَةً"". (غ.كنفاني)."
543	نَجِسٌ		نجس	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"نَجِسٌ-نَجِسٌ [ن ج س] (صِيغَةُ فَعِل). ""رَجُلٌ نَجِسٌ"" : قَذِرٌ. ‏ ""مَكَانٌ نَجِسٌ""."
544	نَحِفٌ		نحف	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِل). ""رَجُلٌ نَحِفٌ"" : ذُو نَحَافَةٍ، نَحِيفٌ."
545	نَخِرٌ		نخر	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"نَخِرٌ-نَخِرٌ، ةٌ [ن خ ر] (صِيغَةُ فَعِل). 1.""عَظْمٌ نَخِرٌ"" : مُتَفَتِّتٌ، مُجَوَّفٌ. ""عُودٌ نَخِرٌ"" ""خَشَبٌ نَخِرٌ"" ""سِنٌّ نَخِرَةٌ"".النازعات آية 11 إِذَا كُنَّا عِظَاماً نَخِرَةً (قرآن) : أَيْ بَالِيَةً."
546	نَزِقٌ		نزق	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِل). ""نَزِقٌ فِي تَصَرُّفَاتِهِ"" : بِهِ خِفَّةٌ وَطَيْشٌ."
547	نَضِرٌ		نضر	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"نَضِرٌ-نَضِرٌ [ن ض ر] (صِيغَةُ فَعِل). ""وَجْهٌ نَضِرٌ"" : وَجْهٌ جَمِيلٌ، مُشْرِقٌ، نَاعِمٌ، نَاضِرٌ."
548	نَعِرٌ		نعر	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"نَعِرٌ-نَعِرٌ [ن ع ر] (صِيغَةُ فَعِل). ""حِمَارٌ نَعِرٌ"" : مُضْطَرِبٌ بِسَبَبِ دُخُولِ النُّعَرَةِ فِي أَنْفِهِ."
549	نَغِلٌ		نغل	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِل). ""وَلَدٌ نَغِلٌ"" : فَاسِدُ النَّسَبِ، وُلِدَ عَنْ زِنـىً."
550	نَقِرٌ		نقر	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"نَقِرٌ-نَقِرٌ [ن ق ر] (صِيغَةُ فَعِل). 1.""رَجُلٌ نَقِرٌ"" : غَضْبَانُ. 2.""حَيَوَانٌ نَقِرٌ"" : مُصَابٌ بِدَاءِ النُّقَرَةِ. 3.""مَالَهُ بِمَوْضِعِ كَذَا نَقِرٌ"" : أَيْ بِئْرٌ أَوْ مَاءٌ."
551	نَقِهٌ		نقه	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;نُقَّة;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِل). ""رَجُلٌ نَقِـهٌ"" : سَرِيعُ الفَهْمِ ."
552	نَكِدٌ		نكد	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;أَنْكَادٌ;ج;مَنَاكِيدُ;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِل). 1.""نَكِدُ الطَّالِعِ"" : سَيِّئُهُ. 2.""رَجُلٌ نَكِدٌ"" : عَسِيرٌ، قَلِيلُ الْخَيْرِ. 3. ""عَرَفْتُهُ رَجُلاً نَكِداً"" : ش"
555	نَكِرٌ		نكر	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;أَنْكَارٌ;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِل). ""وَلَدٌ نَكِرٌ"" : ذَكِيٌّ، فَطِنٌ، نَبِهٌ."
557	نَمِشٌ		نمش	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"نَمِشٌ-نَمِشٌ، ةٌ [ن م ش] (صِيغَةُ فَعِل). ""وَجْهٌ نَمِشٌ"" : فِيهِ بُقَعٌ تُخَالِفُ لَوْنَهُ."
558	نَمِلٌ		نمل	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"نَمِلٌ-نَمِلٌ، ةٌ [ن م ل] (صِيغَةُ فَعِل). ""مَكَانٌ نَمِلٌ"": كَثِيرُ النَّمْلِ. ""أَرْضٌ نَمِلَةٌ""."
559	هَتِكٌ		هتك	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"هَتِكٌ-هَتِكٌ [هـ ت ك] (صِيغَةُ فَعِل). ""ثَوْبٌ هَتِكٌ"" : مُمَزَّقٌ."
560	هَدِمٌ		هدم	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"هَدِمٌ-هَدِمٌ [هـ د م] (صِيغَةُ فَعِل). 1.""وَلَدٌ هَدِمٌ"" : أَحْمَقُ. 2.""جَعَلَ مِنْهُ وَلَداً هَدِماً"" : مُخَنَّثاً."
561	هَذِرٌ		هذر	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِل). ""رَجُلٌ هَذِرٌ"" : مَنْ يُكْثِرُ فِي كَلاَمِهِ مِنَ الْخَطَأِ وَالْبَاطِلِ."
562	هَرِعٌ		هرع	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِل). ""رَآهُ يَمْشِي هَرِعاً"" : يَمْشِي سَرِيعاً."
563	هَرِمٌ		هرم	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;هَرْمَى;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِل). ""رَجُلٌ هَرِمٌ"" : الْبَالِغُ أَقْصَى الْكِبَرِ."
565	هَشِمٌ		هشم	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"هَشِمٌ-هَشِمٌ [هـ ش م] (صِيغَةُ فَعِل). ""رَجُلٌ هَشِمٌ"" : سَخِيٌّ، كَرِيمٌ."
566	هَلِعٌ		هلع	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِل). ""وَجَدَهُ هَلِعاً"" : خَائِفاً، جَزِعاً."
567	هَمِعٌ		همع	فَعِل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"هَمِعٌ-هَمِعٌ، ةٌ [هـ م ع] (صِيغَةُ فَعِل). 1.""سَحَابٌ هَمِعٌ"" : مَاطِرٌ. 2.""عَيْنٌ هَمِعَةٌ"" : لاَ تَزَالُ تَدْمَعُ."
568	وَبِئٌ		وبء	فَعِل	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									"وَبِئٌ-وَبِئٌ، ةٌ [و ب أ] (صِيغَةُ فَعِل). ""بَلَدٌ وَبِئٌ"" : كَثِيرُ الوَبَاءِ."
