#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح
1069	خَلِيقٌ		خلق	فَعِيل	صيغة			مذكر			مفرد	+ون;+ات;خُلُقٌ;خُلَقَاءُ;خَلاَئِقُ		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِيل). ""خَلِيقٌ بِذَلِكَ الْمَنْصِبِ"" : جَدِيرٌ بِهِ، أَهْلٌ لَهُ. ""إِنَّهُ لَخَلِيقٌ بِأَنْ يَتَوَلَّى إِدَارَةَ الْمَدْرَسَةِ""."
1073	خَلِيلٌ		خلل	فَعِيل	صيغة			مذكر			مفرد	+ون;+ات;أَخِلاَّءٌ;خُلاَّنٌ;خَلاَئِلُ;ج;أَخِلاَّءُ;وخُلاَّنٌ;خَليلةٌ;خَلائِ		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِيل). 1. ""أَكْتُبُ إِلَيْكَ يَا خَلِيلِي"" : يَا صَدِيقِي الحَمِيمَ. ""إِنَّهَا خَلِيلَتُهُ"". 2. ""خَلِيلُ اللهِ"" : هُوَ لَقَبُ إِبْرَاهِيمَ عَلَيْهِ السَّلاَم، وَصَارَ اسْماً عَلَماً: ""إِبْرَاهِيمُ الخَلِيلُ""."
1077	خَمِيجٌ		خمج	فَعِيل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"خَمِيجٌ-خَمِيجٌ، ةٌ [خ م ج] (صِيغَةُ فَعِيل). ""وَلَدٌ خَمِيجٌ"" : سَيِّئُ الذِّكْرِ."
1078	دَليكٌ		دلك	فَعِيل	صيغة			مذكر			مفرد	+ات;دُلُكٌ;		Ta	DnN	Pf			Tn									"(صِيغَةُ فَعِيل). 1.""رَجُلٌ دَليكٌ"" : مُجَرِّبٌ لِلأُمورِ. 2.""اِنْتَشَرَ الدَّليكُ في السَّاحَةِ"" : التُّرابُ الَّذِي تَحْمِلُهُ الرِّيحُ وَتَنْثُرُهُ.الدَّلِيكُ : التُّرابُ الذي تَذْرُوه الرِّياحُ.- من الرِّجال: المجرِّب الممارس للأمور؛ خيرٌ لك أن تتعامل مع دليك من أن تضيع الوقت مع غِرٍّ.-: نوعٌ من الطعام ج دُلُكٌ.
"
1080	دَليلٌ		دلل	فَعِيل	صيغة			مذكر			مفرد	+ون;+ات;أَدِلَّةٌ;أَدِلاَّءُ;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِيل). 1.""أَقامَ الدَّليلَ على صِدْقِهِ"" : البُرْهانَ. ""يَمْلِكُ دَليلاً قاطِعاً"" ""لِيَكُنْ لَكَ مِنْ عَقْلِكَ دَليلٌ"". 2.""دَليلُ صَداقَتِهِ"" : عُرْبونُها. 3.""دَليلُ الهاتِفِ"" : دَفْتَرٌ تُسَجَّلُ فيهِ أَسْماءُ الْمُشْتَرِكينَ في الهاتِفِ وَأَرْقامُهُمُ. 4.""يَتَقَدَّمُ الدَّليلُ السُّيَّاحَ"" : الْمُرْشِدُ السِّيَاحِيُّ. ""يَمْشِي في الْمَدينَةِ الْجَدِيدَةِ وَفِي يَدِهِ دَليلٌ""."
1083	دَهينٌ		دهن	فَعِيل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"دَهينٌ-دَهينٌ [د هـ ن ] (صِيغَةُ فَعِيل). 1.""شَعْرٌ دَهينٌ"" : مَدْهونٌ. ""لِحْيَةٌ دَهينٌ"" ""جِلْدٌ دَهينٌ"". 2.""وَلَدٌ دَهينٌ"" : ضَعيفٌ. ""أَمْرٌ دَهينٌ"" ""وَظَنَّ بِنا ظَنّاً دَهيناً""."
1084	ذَكيرٌ		ذكر	فَعِيل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"ذَكيرٌ-ذَكيرٌ [ذ كـ ر] (صِيغَةُ فَعِيل). 1.""وَلَدٌ ذَكيرٌ"" : جَيِّدُ الذِّكْرِ والحِفْظِ. 2.""حَديدٌ ذَكيرٌ"" : مِنْ مَعْدِنٍ جَيِّدٍ، ذَكَرٌ."
1085	ذَليقٌ		ذلق	فَعِيل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn			ـو						"ذَليقٌ-ذَليقٌ [ذ ل ق] (صِيغَةُ فَعِيل). ""ذَلِيقُ اللِّسانِ"" : البَليغُ، الفَصيحُ. 2.""لِسانٌ ذَليقٌ"" : حادٌّ.الذَّلِيقُ : الذَّرِبُ الحادُّ من الأَسِنَّة والأَلَسِنَة. -: الفصيح من الخطباء؛ الخطيبُ الذليق يستأثر بمشاعر السامعين.
"
1086	ذَمِيمٌ		ذمم	فَعِيل	صيغة			مذكر			مفرد	+ون;+ات;ذِمَامٌ		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِيل). 1.""رَجُلٌ ذَمِيمٌ"" : مُعَابٌ، أي الّذِي يُذَمُّ وَيُعابُ. عَكْسَ الْمَمْدُوحِ. "
1088	ذَهِيبٌ		ذهب	فَعِيل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"ذَهِيبٌ-ذَهِيبٌ [ذ هـ ب] (صِيغَةُ فَعِيل). ""مَعْدِنُ ذَهيبٌ"" : مُمَوَّهٌ بِالذَّهَبِ."
