#رقم	مشكول	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح
655	مُزَخْرَفٌ	مزخرف	زخرف		مفعول	زَخْرَفَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُزَخْرَفٌ-مُزَخْرَفٌ، ةٌ [ز خ ر ف] (مفع. مِنْ زَخْرَفَ). 1.""فُسْتَانٌ مُزَخْرَفٌ"" : مُزَيَّنٌ بِأَلْوَانٍ شَتَّى. 2.""أُسْلُوبٌ مُزَخْرَفٌ"" : أُسْلُوبٌ يَتَضَمَّنُ تَعَابِيرَ وَأْلَفَاظاً مِنَ الْمُحَسِّنَاتِ."
656	مَزْرُوعٌ	مزروع	زرع		مفعول	زَرَعَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"(مفع. مِنْ زَرَعَ). 1.""أَرْضٌ مَزْرُوعَةٌ خُضَراً وَقَمْحاً"" : مُلْقىً فِيهَا البَذْر لِيَنْبُتَ. 2.""قُنْبُلَةٌ مَزْرُوعَةٌ فِي الأَرْضِ"" : مَدْفُونَةٌ. ""أَلْغَامٌ مَزْرُوعَةٌ""."
657	مُزَرْكَشٌ	مزركش	زركش		مفعول	زَرْكَشَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُزَرْكَشٌ-مُزَرْكَشٌ، ةٌ [ز ر ك ش ] (مفع. مِنْ زَرْكَشَ). ""ثَوْبٌ مُزَرْكَشٌ"" : مُلَوَّنٌ بِعِدَّةِ أَلْوَانٍ."
658	مَزْعُومٌ	مزعوم	زعم		مفعول	زَعَمَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مَزْعُومٌ-مَزْعُومٌ [ز ع م] (مفع. مِنْ زَعَمَ). ""خَبَرٌ مَزْعُومٌ"" : غَيْرُ مَوْثُوقٍ بِهِ. ""زُهْدٌ مَزْعُومٌ""."
659	مُزَفَّتٌ	مزفت	زفت		مفعول	زَفَّتَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُزَفَّتٌ-مُزَفَّتٌ [ز ف ت] (مفع. مِنْ زَفَّتَ). ""طَرِيقٌ مُزَفَّتٌ"": مَرْصُوفٌ بِالزَّفْتِ."
660	مَزْكُومٌ	مزكوم	زكم		مفعول	زَكَمَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"(مفع. مِنْ زَكَمَ). ""مَزْكُومٌ مُنْذُ أُسْبُوعٍ"" : مُصَابٌ بِالزُّكَامِ."
661	مَزْمُومٌ	مزموم	زمم		مفعول	زَمَّ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مَزْمُومٌ-مَزْمُومٌ، ةٌ [ز م م] (مفع. مِنْ زَمَّ). ""مَزْمُومُ الفَمِ"" : مَشْدُودٌ... ""شَفَتَاهُ مَزْمُومَتَانِ مُتَوَتِّرَتَانِ كَأَنَّهُمَا تَحْبِسَانِ كَلِمَةً تُرِيدُ أَنْ تَخْرُجَ"". (أحمد بوزفور)."
662	مُزَّمَّلٌ	مزمل	زمل		مفعول	اِزَّمَّلَ 		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									مُزَّمِّلٌ-مُزَّمِّلٌ [ز م ل] (فَا. مِن اِزَّمَّلَ). : سُورَةٌ مِنْ سُوَرِ القُرْآنِ:المزمل آية 1،2 يَا أَيُّهَا الْمُزَّمِّلُ، قُمِ اللَّيْلَ إِلاَّ قَلِيلاً (قرآن) : يَا أَيُّهَا الْمُتَلَفِّفُ، الْمُدَّثِّرُ.
663	مُزَوَّدٌ	مزود	زود		مفعول	زَوَّدَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"مُزَوَّدٌ-مُزَوَّدٌ [ز و د] (مفع. مِنْ زَوَّدَ). 1.""مُزَوَّدٌ بِمَا يَحْتَاجُهُ فِي سَفَرِهِ"" : مُدَّ بِكُلِّ حَاجَاتِ السَّفَرِ. 2.""جَيْشٌ مُزَوَّدٌ بِأَسْلِحَةٍ حَدِيثَةٍ وَمُتَطَوِّرَةٍ"" : مُجَهَّزٌ."
664	مُزَوَّرٌ	مزور	زور		مفعول	زَوَّرَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُزَوَّرٌ-مُزَوَّرٌ، ةٌ [ز و ر] (مفع. مِنْ زَوَّرَ). 1.""نَقْدٌ مُزَوَّرٌ"" : مَغْشُوشٌ، مُزَيَّفٌ. 2.""إِمْضَاءٌ مُزَوَّرٌ"" : وَقَعَ تَزْوِيرُهُ، مُخَالِفٌ لِلأَصْلِ. ""وَثِيقَةٌ مُزَوَّرَةٌ"". 3.""شَهَادَةٌ مُزَوَّرَةٌ"" : كَاذِبَةٌ."
665	مُزَوَّقٌ	مزوق	زوق		مفعول	زَوَّقَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُزَوَّقٌ-مُزَوَّقٌ، ةٌ [ز و ق] (مفع. مِنْ زَوَّقَ). ""كِتَابٌ مُزَوَّقٌ"": مُزَخْرَفٌ، مَنْقُوشٌ."
666	مُزَيَّتٌ	مزيت	زيت		مفعول	زَيَّتَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُزَيَّتٌ-مُزَيَّتٌ، ةٌ [ز ي ت] (مفع. مِنْ زَيَّتَ). ""آلاَتٌ مُزَيَّتَةٌ"": آلاَتٌ وُضِعَ فِيهَا الزَّيْتُ."
667	مُزَيَّفٌ	مزيف	زيف		مفعول	زَيَّفَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُزَيَّفٌ-مُزَيَّفٌ، ةٌ [ز ي ف] (مفع. مِنْ زَيَّفَ). 1.""نَقْدٌ مُزَيَّفٌ"" : مَغْشُوشٌ. ""بَطَائِقُ وَوَثَائِقُ مُزَيَّفَةٌ"". 2.""كَلاَمٌ مُزَيَّفٌ"" : بَاطِلٌ، كَاذِبٌ."
668	مُزَيَّنٌ	مزين	زين		مفعول	زَيَّنَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"مُزَيَّنٌ-مُزَيَّنٌ، ةٌ [ز ي ن] (مفع. مِنْ زَيَّنَ). 1.""جِدَارٌ مُزَيَّنٌ"": مُزَخْرَفٌ. ""شَوَارِعُ مُزَيَّنَةٌ بِالصُّوَرِ وَالرَّايَاتِ وَالأَضْوَاءِ"". 2.""كَلاَمٌ مُزَيَّنٌ يَجْذِبُكَ بِحُسْنِ إِيقَاعِهِ"" : حَسَنٌ، مُمَوَّهٌ."
669	مَسُودٌ	مسود	سود		مفعول	سَادَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"(مفع. مِن سَادَ). أَصْبَحَ السَّيِّدُ مَسُوداً وَالْمَخْدُومُ خَادِماً"" : خَاضِعاً."
670	مَسْؤُولٌ	مسؤول	سأل		مفعول	سَأَلَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn			ـو						"(مفع. مِنْ سَأَلَ). 1."" هُوَ مَسْؤُولٌ عَنْ عَائِلَتِهِ"" : رَاعِيهَا وَالسَّاهِرُ عَلَى شُؤُونِ مَعِيشَتِهَا، كَفِيلٌ. ""مَسْؤُولٌ عَنْ سَيْرِ الْمَعْمَلِ"". 2.""هُوَ الْمَسْؤُولُ الوَحِيدُ عَنِ الكَارِثَةِ"" : هُوَ الَّذِي تَقَعُ عَلَيْهِ تَبِعَاتُ الكَارِثَةِ"". 3.""هُوَ مِنْ بَيْنِ الْمَسْؤُولِينَ فِي البِلاَدِ"" : مِنْ بَيْنِ الَّذِينَ لَهُمْ مَسْؤُولِيَّاتٌ فِي جِهَازِ الدَّوْلَةِ."
671	مَسْبُوتٌ	مسبوت	سبت		مفعول	سَبَتَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"مَسْبُوتٌ-مَسْبُوتٌ [س ب ت] (مفع. مِنْ سَبَتَ). 1.""وَجَدَهُ مَسْبُوتاً"" : مَغْشِيٌّ عَلَيْهِ. 2.""مِنْ بَيْنِ الْجَرْحَى جُنْدِيٌّ مَسْبُوتٌ"" : مَيِّتٌ."
672	مُسَبَّحٌ	مسبح	سبح		مفعول	سَبَّحَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُسَبَّحٌ-مُسَبَّحٌ [س ب ح] (مفع. مِنْ سَبَّحَ). ""ثَوْبٌ مُسَبَّحٌ"": نَسِيجُهُ قَوِيٌّ شَدِيدٌ."
673	مُسَبَّعٌ	مسبع	سبع		مفعول	سَبَّعَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُسَبَّعٌ-مُسَبَّعٌ [س ب ع] (مفع. مِنْ سَبَّعَ). ""سَطْحٌ مُسَبَّعٌ "" (هن) : سَطْحٌ تُحِيطُ بِهِ سَبْعَةُ أَضْلاَعٍ مُتَسَاوِيَةٍ."
674	مُسَبَّقٌ	مسبق	سبق		مفعول	سَبَّقَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُسَبَّقٌ-مُسَبَّقٌ، ةٌ [س ب ق] (مفع. مِنْ سَبَّقَ). 1.""أَدَّى الثَّمَنَ مُسَبَّقاً"" : مُقَدَّماً، سَلَفاً. 2.""فِ"
675	مَسْتُورٌ	مستور	ستر		مفعول	سَتَرَ		مذكر			مفرد	+ون;+ات;مساتيرُ 		ة	DnT	Pf	Pm		Tn									"(مفع. مِن سَتَرَ). 1.""مَسْتُورٌ فِي بَيْتِهِ"" : الْمُخْتَفِي فِي بَيْتِهِ. 2.""مَسْتُورٌ عَنِ الأَنْظَارِ"" : بَعِيدٌ عَنِ الأَنْظَارِ لاَ أَحَدَ يَعْرِفُ عَنْهُ شَيْئاً، عَفِيفٌ. ""مَسْتُورٌ فِي مَعِيشَتِهِ""."
676	مَسَاتِيرُ	مساتير	ستر		مفعول	سَتَرَ					جمع		مَسْتُورٌ														Non	
677	مُسَتَّرَةٌ	مسترة	ستر		مفعول	سَتَّرَ		مؤنث			مفرد	+ات 		ة	DnT	Pf			Tn									"مُسَتَّرَةٌ-مُسَتَّرَةٌ [س ت ر] (مفع. من سَتَّرَ) ""اِمْرَأَةٌ مُسَتَّرَةٌ"" : مُحَجَّبَةٌ، مُتَوَارِيَةٌ فِي بَيْتِهَا."
678	مُسَجَّلٌ	مسجل	سجل		مفعول	سَجَّلَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"(مفع. مِن سَجَّلَ). 1.""مُسَجَّلٌ فِي القَائِمَةِ"" : مُقَيَّدٌ بِهَا، مُدَوَّنٌ. 2.""اِخْتِرَاعٌ مُسَجَّلٌ"" : تَمَّ تَقْيِيدُهُ لِيَكْتَسِبَ صِفَةً رَسْمِيَّةً وَحَقَّ عَدَمِ التَّنَازُعِ فِيهِ. 3.""شَرِيطٌ مُسَجَّلٌ"" : شَرِيطٌ سُ"
679	مَسْجُونٌ	مسجون	سجن		مفعول	سَجَنَ		مذكر			مفرد	+ون;+ات;مَسَاجِينُ 		ة	DnT	Pf	Pm		Tn									"(مفع. مِن سَجَنَ). ""أُفْرِجَ عَنِ الْمَسْجُونِ"" : الْمَحْبوسُ، السَّجِينُ."
680	مَسَاجِينُ	مساجين	سجن		مفعول	سَجَنَ					جمع		مَسْجُونٌ														Non	
681	مَسْحُوبٌ	مسحوب	سحب		مفعول	سَحَبَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"مَسْحُوبٌ-مَسْحُوبٌ [س ح ب] (مفع. مِن سَحَبَ). 1.""شَيْءٌ مَسْحُوبٌ"" : مَجْرُورٌ. 2.""مَسْحُوبٌ عَلَيْهِ"" : مَنْ يَكُونُ مَدِيناً لل"
682	مَسْحُوتٌ	مسحوت	سحت		مفعول	سَحَتَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مَسْحُوتٌ-مَسْحُوتٌ [س ح ت] (مفع. مِن سَحَتَ). 1.""هُوَ مَسْحُوتُ الْجَوْفِ"" : نَهِمٌ، لاَ "
683	مَسْحُورٌ	مسحور	سحر		مفعول	سَحَرَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"(مفع. مِن سَحَرَ). ""رَجُلٌ مَسْحُورٌ"""
684	مَسْحُوقٌ	مسحوق	سحق		مفعول	سَحَقَ		مذكر			مفرد	+ون;+ات;مَسَاحِيقُ 		ة	DnT	Pf	Pm		Tn									"(مفع. مِن سَحَقَ). 1.""مَسْحُوقُ التَّجْمِيلِ"" : كُلُّ مَادَّةٍ طَرِيَّةٍ مَدْقُوقَةٍ كَال"
685	مَسَاحِيقُ	مساحيق	سحق		مفعول	سَحَقَ					جمع		مَسْحُوقٌ														Non	
686	مُسَخَّرٌ	مسخر	سخر		مفعول	سَخَّرَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"(مفع. مِن سَخَّرَ). 1.""عَمَلٌ مُسَخَّرٌ"" : مُسْتَغَلٌّ. 2.""إِبِلٌ"
687	مُسَخَّنٌ	مسخن	سخن		مفعول	سَخَّنَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"مُسَخَّنٌ-مُسَخَّنٌ [س خ ن] (مفع. مِن سَخَّنَ). ""مَاءٌ مُسَخَّنٌ"": تَمَّ تَسْخِينُهُ."
688	مَسْدُودٌ	مسدود	سدد		مفعول	سَدَّ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مَسْدُودٌ-مَسْدُودٌ، ةٌ [س د د] (مفع. مِن سَدَّ). 1.""طَرِيقٌ مَسْدُودٌ"
689	مُسَدَّدٌ	مسدد	سدد		مفعول	سَدَّدَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُسَدَّدٌ-مُسَدَّدٌ، ةٌ [س د د] (مفع. مِن سَدَّدَ). ""حِسَابٌ م"
690	مَسْرُورٌ	مسرور	سرر		مفعول	سَرَّ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"(مفع. مِن سَرَّ). ""مَسْرُورٌ بِنَجَاحِهِ"" : فَرِحٌ."
691	مُسَرَّحٌ	مسرح	سرح		مفعول	سَرَّحَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"(مفع. مِن سَرَّحَ). 1.""جُنْدِيٌّ مُسَرَّحٌ"" : مُعْفىً مِنَ الجُنْدِيَّةِ. 2.""مُسَرَّحٌ مِنَ الخِدْمَةِ"" : مُبْعَدٌ. ""عَامِلٌ مُسَرَّحٌ"". 3.""شَعْرٌ مُسَرَّحٌ"" : مُسْدَلٌ."
692	مَسْرُوقٌ	مسروق	سرق		مفعول	سَرَقَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"مَسْرُوقٌ-مَسْرُوقٌ، ةٌ [س ر ق] (مفع. مِن سَرَقَ). ""أَثَاثٌ مَسْرُوقٌ"" : أُخِذَ عَلَى حِينِ غَفْلَةٍ. ""أَمْوَالٌ مَسْرُوقَةٌ""."
693	مُسَطَّحٌ	مسطح	سطح		مفعول	سَطَّحَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"(مفع مِنْ سَطَّحَ). 1.""شَكْلٌ مُسَطَّحٌ"" (هن) : ذُو سَطْحٍ مُسْتَوٍ. ""ثُمَّ صَعِدَ كُثْبَاناً وَاطِئَةً ذَاتَ "
694	مُسَطَّرٌ	مسطر	سطر		مفعول	سَطَّرَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُسَطَّرٌ-مُسَطَّرٌ، ةٌ [س ط ر] ( مفع. مِن سَطَّرَ). 1.""كَلاَمٌ مُسَطَّرٌ"" : مَكْتُوبٌ. 2.""شِيكٌ مُسَطَّرٌ"" : مَ"
695	مَسْطُولٌ	مسطول	سطل		مفعول	سَطَلَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"(مفع. مِن سَطَلَ). ""وَلَدٌ مَسْطُولٌ"" : غَبِيٌّ، مُخَدَّرٌ."
696	مُسَعَّرٌ	مسعر	سعر		مفعول	سَعَّرَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُسَعَّرٌ-مُسَعَّرٌ، ةٌ [س ع ر] (مفع. مِن سَعَّرَ). 1.""ثَمَنٌ مُسَعَّرٌ"" : مُحَدَّدٌ سِعْرُهُ. 2.""نَارٌ مُسَعَّرَةُ"" : مُشْتَعِلَةٌ."
697	مَسْعُورٌ	مسعور	سعر		مفعول	سَعَرَ		مذكر			مفرد	+ون;+ات;مَسَاعِيرُ 		ة	DnT	Pf	Pm		Tn									"(مفع. مِن سَعَرَ). 1.""كَلْبٌ مَسْعُورٌ"" : مُصَابٌ بِدَاءِ السُّعارِ. 2.""رَجُلٌ مَسْعُورٌ"" : مَجْنُونٌ."
698	مَسَاعِيرُ	مساعير	سعر		مفعول	سَعَرَ					جمع		مَسْعُورٌ														Non	
699	مَسْعَى	مسعى	سعي		مفعول	سَعَى		مذكر			مفرد	مَسَاعٍ;المساعي 			Dy				Tn									"(مفع. مِن سَعَى). ""شَكَرَ مَسْعَاهُ"" : سَعْيَهُ، مُحَاوَلَتَهُ، إِجْرَاءهُ، مَسْلَكَهُ، تَصَرُّفَهُ."
700	مَسْعاة	مسعاة	سعي		مفعول	سَعَى		مؤنث			مفرد	مَسَاعٍ;المساعي 			DnT	Pf			Tn									"(مفع. مِن سَعَى). ""شَكَرَ مَسْعَاهُ"" : سَعْيَهُ، مُحَاوَلَتَهُ، إِجْرَاءهُ، مَسْلَكَهُ، تَصَرُّفَهُ."
701	مَسَاعِي	مساعي	سعي		مفعول	سَعَى					جمع							Tk									Non	
702	مَسْفُوحٌ	مسفوح	سفح		مفعول	سَفَحَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"(مفع. مِن سَفَحَ). 1.""دَمٌ مَسْفُوحٌ"" : مَسْفُوكٌ، مُرَاقٌ. ""إِنَّ الْحُرِّيَّةَ هِيَ شَجَرَةُ الخُلْدِ وَسُقْيَاهَا قَطَرَاتٌ مِنَ الدَّمِ"
703	مَسْفُوكٌ	مسفوك	سفك		مفعول	سَفَكَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"(مفع. مِن سَفَكَ). ""دَمٌ مَسْفُوكٌ"" : مَسْفُوحٌ، مُرَاقٌ."
704	مَسْكُوتٌ	مسكوت	سكت		مفعول	سَكَتَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مَسْكُوتٌ-مَسْكُوتٌ [س ك ت] (مفع. من سَكَتَ). 1.""مَسْكُوتٌ عَنْهُ"" :"
705	مَسْكُونٌ	مسكون	سكن		مفعول	سَكَنَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"مَسْكُونٌ-مَسْكُونٌ، ةٌ [س ك ن] (مفع. مِن سَكَنَ). 1.""بَيْتٌ مَسْكُونٌ"" : يَسْكُنُهُ نَاسٌ. 2.""يَتَحَدَّثُ الن"
706	مَسْلُولٌ	مسلول	سلل		مفعول	سَلَّ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"(مفع مِنْ سَلَّ). 1.""يَلُوحُ بِسَيْفِهِ الْمَسْلُولِ فِي الْهَوَاءِ"" : السَّ"
707	مَسْلُوبٌ	مسلوب	سلب		مفعول	سَلَبَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn			ـو						"(مفع. مِن سَلَبَ). ""مَسْلُوبُ الإِرَادَةِ"" : مَنْ سُلِبَتْ إِرَادَتُهُ طَوْعاً أَوْ كُرْهاً."
708	مساليب	مساليب	سلب		مفعول	سَلَبَ					جمع																Non	
709	مُسَلَّحٌ	مسلح	سلح		مفعول	سَلَّحَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn			ـو						"(مفع. مِن سَلَّحَ). ""رَجُلٌ مُسَلَّحٌ "" : مُزَوَّدٌ بِالسِّلاَحِ."
710	مُسَلْسَلٌ	مسلسل	سلسل		مفعول	سَلْسَلَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"(مفع. مِن سَلْسَلَ). 1.""جَاءوا بِهِ مُسَلْسَلاً"" : مُقَيَّداً بِالسَّلاَسِلِ. 2.""شَعْرٌ مُسَلْسَلٌ "" : مُجَعَّدٌ. 3. ""ثَوْبٌ مُسَلْسَلٌ"" : مُتَلاَشٍ، بَالٍ. 4.""أَرْقَامٌ مُسَلْسَلَةٌ"" : أَرْقَامٌ مُتَوَالِيَةٌ. 5.""مُسَلْسَلٌ تِلِفِزْيُونِيٌّ"" : فِلْمٌ يُقَدَّمُ عَلَى حَلَقَاتٍ."
711	مَسْلُوقٌ	مسلوق	سلق		مفعول	سَلَقَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مَسْلُوقٌ-مَسْلُوقٌ [س ل ق] (مفع. مِن سَلَقَ). """
712	مَسْلُوكٌ	مسلوك	سلك		مفعول	سَلَكَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مَسْلُوكٌ-مَسْلُوكٌ، ةٌ [س ل ك] (مفع. مِن سَلَكَ). ""طَرِيقٌ مَسْلُوكٌ"" : طَرِيقٌ يَسِيرُ فِيهِ النَّاسُ. ""الْمَسْلُوكُ مِنَ الطُّرُقِ""."
713	مُسَلَّمٌ	مسلم	سلم		مفعول	سَلَّمَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn			ـو						"(مفع. مِن سَلَّمَ). ""أَمْرٌ مُسَلَّمٌ بِهِ"" : بَدِيهِيٌّ لاَ يَحْتَاجُ إِلَى إِقْنَاعٍ."
714	مَسْمُومٌ	مسموم	سمم		مفعول	سَمَّ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"مَسْمُومٌ، ةٌ - ج: ـون، ـات. [س م م]. (مفع مِنْ سَمَّ). 1.""طَعَامٌ مَسْمُومٌ"" : مَخْلُوطٌ بِالسُّمِّ. 2.""رَجُلٌ مَسْمُومٌ"": أَيْ مُؤْذٍ. ""أَنَا الْمَسْمُومُ مَا لِي تِرْيَاقٌ وَلاَ رَاقٍ"""
715	مَسْمُوحٌ	مسموح	سمح		مفعول	سَمَحَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مَسْمُوحٌ-مَسْمُوحٌ [س م ح] (مفع. مِن سَمَحَ). ""مَسْ"
716	مُسَمَّرٌ	مسمر	سمر		مفعول	سَمَّرَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"(مفع. مِن سَمَّرَ). 1.""مُسَمَّرٌ فِي الْحَائِطِ"" : مُثَ"
717	مَسْمُوعٌ	مسموع	سمع		مفعول	سَمِعَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"(مفع. مِن سَمِعَ). 1.""رَأْيُهُ مَسْمُوعٌ"" : يُعْمَلُ بِهِ. 2.""رَجُلٌ مَسْمُوعُ الكَلِمَةِ"" : رَجُلٌ مُؤَثِّرٌ يُؤْخَذُ بِكَلاَمِهِ."
718	مُسَمَّى	مسمى	سمي		مفعول	سَمَّى		مذكر			مفرد	+ون			Dy		Pm		Tn									"مُسَمّىً-مُسَمّىً [س م ي] (مفع. مِن سَمَّى). 1.""الْمُسَمَّى فُلاَنٌ"" : الْمَدْعُو فُ"
719	مُسَمّاة	مسماة	سمي		مفعول	سَمَّى		مؤنث			مفرد	+ات 			DnN	Pf			Tn									"مُسَمّىً-مُسَمّىً [س م ي] (مفع. مِن سَمَّى). 1.""الْمُسَمَّى فُلاَنٌ"" : الْمَدْعُو فُ"
720	مَسْنُونٌ	مسنون	سنن		مفعول	سَنَّ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مَسْنُونٌ-مَسْنُونٌ [س ن ن] (مفع. مِن سَنَّ). ""سِكِّينٌ مَسْنُونٌ"": حَادٌّ."
721	مُسَنَّنٌ	مسنن	سنن		مفعول	سَنَّنَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُسَنَّنٌ-مُسَنَّنٌ، ةٌ [س ن ن] (مفع. مِن سَنَّنَ). ""رُمْحٌ مُسَنَّنٌ"": حَادُّ الرَّأْسِ."
722	مُسَهَّدٌ	مسهد	سهد		مفعول	سَهَّدَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"(مفع. مِن سَهَّدَ). ""مُسَهَّدٌ فِي لَيَالِيهِ"" : قَلِيلُ النَّوْمِ."
723	مُسَوَّرٌ	مسور	سور‎		مفعول	سَوَّرَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُسَوَّرٌ-مُسَوَّرٌ [س و ر‎] (مفع. مِنْ سَوَّرَ). ""مَنْزِلٌ مُسَوَّرٌ"" : مُحَاطٌ بِسِيَاجٍ، مُسَيَّجٌ."
724	مُسَوَّسٌ	مسوس	سوس		مفعول	سَوَّسَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُسَوَّسٌ-مُسَوَّسٌ، ةٌ [س و س] (مفع. مِن سَوَّسَ). 1.""حِمَّصٌ مُسَوَّسٌ"" : دَخَ"
725	مُسَيَّجٌ	مسيج	سيج		مفعول	سَيَّجَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									مُسَيَّجٌ-مُسَيَّجٌ [س ي ج] (مفع. مِن سَيّ
726	مُسَيَّرٌ	مسير	سير		مفعول	سَيَّرَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"(مفع. مِن سَيَّرَ). 1.""هُوَ مُسَيَّرٌ لاَ مُخَيَّرٌ"" : أَعْمالُهُ وَأَفْعالُهُ خارِجَةٌ عَنْ إِرادَتِهِ الفِعْلِيَّةِ، وَلاَ سَيْطَرَةَ لَهُ عَ"
727	مَشُوبٌ	مشوب	شوب		مفعول	شَابَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"(مفع. مِن شَابَ). 1.""مَشُوبٌ بِالخَوْفِ وَالاِلْتِبَاسِ"" : مُخْتَلِطٌ. 2.""مَشُوبٌ بالغُموضِ"" : مُلْتَبِسٌ. ""كَانَ أَحَدُهُمَا مُغْرِياً بِالرَّجَاءِ وَالآخَرُ مَشُوباً بِاليَأْسِ وَالرِّيبَةِ""."
728	مَشْؤُومٌ	مشؤوم	شأم		مفعول	شَأَمَ		مذكر			مفرد	+ون;+ات;مَشَائيِمُ 		ة	DnT	Pf	Pm		Tn			ـو						"(مفع. مِن شَأَمَ). ""رَجُلٌ مَشْؤُومٌ"" : رَجُلٌ يَجُرُّ الشُّؤْمَ. ""لاَ يَزَالُ يَذْكُرُ ذَلِكَ اليَوْمَ الْمَشْؤُومَ يَوْمَ الكَارِثَةِ""."
729	مَشَائيِمُ	مشائيم	شأم		مفعول	شَأَمَ					جمع		مَشْؤُومٌ														Non	
730	مُشَاهَدٌ	مشاهد	شهد		مفعول	شَاهَدَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"مُشَاهَدٌ-مُشَاهَدٌ، ةٌ [ش هـ د] (مفع. مِن شَاهَدَ). ""مُشَاهَدٌ مِنْ بَعِيدٍ"" : مَا يُرَى مِنْ بَعِيدٍ. ""مُشَاهَدٌ بِالعَيْنِ الْمُجَرَّدَةِ"". "
