#رقم	مشكول	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح
238	مُشْتَكَى	مشتكى	شكو		مفعول	اِشْتَكَى		مذكر			مفرد	+ون			Dy		Pm		Tn									"مُشْتَكَى-مُشْتَكَى [ش ك و] (مفع. مِن اِشْتَكَى). ""الْمُشْتَكَى"": الْمُدَّعَى عَلَيْهِ."
239	مُشْتَكاة	مشتكاة	شكو		مفعول	اِشْتَكَى		مؤنث			مفرد	+ات 			DnN	Pf			Tn									"مُشْتَكَى-مُشْتَكَى [ش ك و] (مفع. مِن اِشْتَكَى). ""الْمُشْتَكَى"": الْمُدَّعَى عَلَيْهِ."
240	مُشْتَهَى	مشتهى	شهي		مفعول	اِشْتَهَى		مذكر			مفرد	+ات 			Dy	Pf			Tn									"مُشْتَهَى-مُشْتَهَى [ش هـ ي] (مفع. مِن اِشْتَهَى) ""كَانَ فِي الْحَفْلِ كُلُّ مُشْتَهَى"" : كُلُّ مَا يُشْتَهَى."
241	مُشْتَهاة	مشتهاة	شهي		مفعول	اِشْتَهَى		مؤنث			مفرد	+ات 			DnN	Pf			Tn									"مُشْتَهَى-مُشْتَهَى [ش هـ ي] (مفع. مِن اِشْتَهَى) ""كَانَ فِي الْحَفْلِ كُلُّ مُشْتَهَى"" : كُلُّ مَا يُشْتَهَى."
242	مُصَابٌ	مصاب	صوب		مفعول	أصابَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn			ـو						"(مفع. من أصابَ). 1."" مُصَابٌ بِمَرَضٍ عُضَالٍ"" : مَنْ أَصَابَهُ مَرَضٌ. ""عُضْوُهُ الأيْسَرُ م"
243	مُصْطَفَى	مصطفى	صفو		مفعول	اِصْطَفَى		مذكر			مفرد	+ون			Dy		Pm		Tn									"(مفع. مِن اِصْطَفَى). 1. ""عَمَلٌ مُصْطَفـىً"" : مُخْتارٌ. 2.""الْمُصْطَفَى"" : لَقَبُ ا"
244	مُصْطَفاة	مصطفاة	صفو		مفعول	اِصْطَفَى		مؤنث			مفرد	+ات 			DnN	Pf			Tn									"(مفع. مِن اِصْطَفَى). 1. ""عَمَلٌ مُصْطَفـىً"" : مُخْتارٌ. 2.""الْمُصْطَفَى"" : لَقَبُ ا"
245	مُصْطَلَحٌ	مصطلح	صلح		مفعول	اِصْطَلَحَ		مذكر			مفرد	+ات		ة	DnT	Pf			Tn									"(مفع. مِنِ اِصْطَلَحَ). 1. إِجْرَاءٌ مُصْطَلَحٌ عَلَيْهِ "": مُتَّفَقٌ عَلَيْهِ. 2. ""الْمُصْطَلَحُ فِي العُلُومِ"" : كُلُّ كَلِمَةٍ لَهَا دَلاَلَةٌ مُعَيَّنَةٌ، مُتَّفَقٌ عَلَيْهَا "
246	مُضْطَرٌّ	مضطر	ضرر		مفعول	اِضْطَرَّ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"(مفع. مِن اِضْطَرَّ). ""مُضْطَرٌّ لِلسَّفَرِ لَيْلاً"" : مُكْرَهٌ."
247	مُضْطَهَدٌ	مضطهد	ضهد		مفعول	اِضْطَهَدَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn			ـو						"(مفع. مِن اِضْطَهَدَ). ""رَجُلٌ مُضْطَهَدٌ"" : أَيْ مُعَرَّضٌ لِلظُّلْمِ وَالقَهْرِ."
248	مُضْمَرٌ	مضمر	ضمر		مفعول	أَضْمَرَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُضْمَرٌ-مُضْمَرٌ، ةٌ [ض م ر] (مفع. مِن أَضْمَرَ). ""فِي نَفْسِهِ شَيْءٌ مُضْمَرٌ"" : مَخْفِيٌّ."
249	مُضْنَى	مضنى	ضني		مفعول	أَضْنَى		مذكر			مفرد	+ات 			Dy	Pf			Tn									"مُضْنـىً-مُضْنـىً [ض ن ي] (مفع. من أَضْنَى). ""وَجَدَهُ مُضْنىً"": مُرْهَقاً، مُتْعَباً، رَازِحاً تَحْتَ عِبْءٍ. ""مُضْنَاكَ جَفَاهُ مَرْقَدُهُ"". (أحمد شوقي)."
250	مُضْناة	مضناة	ضني		مفعول	أَضْنَى		مؤنث			مفرد	+ات 			DnN	Pf			Tn									"مُضْنـىً-مُضْنـىً [ض ن ي] (مفع. من أَضْنَى). ""وَجَدَهُ مُضْنىً"": مُرْهَقاً، مُتْعَباً، رَازِحاً تَحْتَ عِبْءٍ. ""مُضْنَاكَ جَفَاهُ مَرْقَدُهُ"". (أحمد شوقي)."
251	مُطْفَأٌ	مطفأ	طفأ		مفعول	أَطْفَأَ		مذكر			مفرد	+ات 			Dz	Pf			Tn									"مُطْفَأٌ-مُطْفَأٌ، ةٌ [ط ف أ] (مفع. مِن أَطْفَأَ). 1.""جَمْرٌ مُطْفَأٌ"": هَامِدٌ. 2.""ضَوْءٌ مُطْفَأٌ"" : غَيْرُ مُشْتَعِلٍ."
252	مُطْفَأَةٌ	مطفأة	طفأ		مفعول	أَطْفَأَ		مؤنث			مفرد	+ات 			DnN	Pf			Tn									"مُطْفَأٌ-مُطْفَأٌ، ةٌ [ط ف أ] (مفع. مِن أَطْفَأَ). 1.""جَمْرٌ مُطْفَأٌ"": هَامِدٌ. 2.""ضَوْءٌ مُطْفَأٌ"" : غَيْرُ مُشْتَعِلٍ."
253	مُطْلَقٌ	مطلق	طلق		مفعول	أَطْلَقَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn			ـو						"مُطْلَقٌ، ةٌ - [ط ل ق]. (مفع. من أَطْلَقَ). 1.""حُكْمٌ مُطْلَقٌ"" : عَامٌّ. 2.""بِلاَدٌ تَخْضَعُ لِلْحُكْمِ الْمُطْلَقِ"" : بِلاَدٌ لاَ دِيمُقْرَاطِيَّةَ فِيهَا تَخْضَعُ لِحُكْمِ فَرْدٍ وَاحِدٍ.   ""لَهُ سُلْطَةٌ مُطْلَقَةٌ"" ""لَهُ مُطْلَقُ الصَّلاحِيَّةِ"". 3.""قَاعِدَةٌ مُطْلَقَةٌ"" : قَاعِدَةٌ لاَ اسْتِثْنَاءَ فِيهَا. ""أَحْكَامٌ مُطْلَقَةٌ"". 4.""مَاءٌ مُطْلَقٌ"" : لاَ تُخَالِطُهُ نَجَاسَةٌ وَيُحَافِظٌ عَلَى نَقَائِهِ. 5.""أَمْرٌ لَمْ يَحْدُثْ مُطْلَقاً"" : لَمْ يَحْدُثْ قَطُّ. "
254	مُعَارٌ	معار	عور		مفعول	أَعَارَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn			ـو						"مُعَارٌ-مُعَارٌ [ع و ر] (مفع. مِن أَعَارَ). ""فُسْتَانٌ مُعَارٌ"" : مَأْخُوذٌ إِعَارَةً. ""كِتَابٌ مُعَارٌ""."
255	مُعَاقٌ	معاق	عوق		مفعول	أَعَاقَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn			ـو						"(مفع. مِن أَعَاقَ). ""وَلَدٌ مُعَاقٌ"" : بِهِ عَاهَةٌ تَعُوقُهُ عَنِ التَّكَيُّفِ مَعَ ال"
256	مُعْتَبَرٌ	معتبر	عبر		مفعول	اِعْتَبَرَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"(مفع. مِن اِعْتَبَرَ). ""عَمَلٌ مُعْتَبَرٌ"" : لَهُ قِيمَةٌ وَاعْتِبَارٌ. ""رَجُلٌ مُعْتَبَرٌ""."
257	مُعْتَرَفٌ	معترف	عرف		مفعول	اِعْتَرَفَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"(مفع. مِن اِعْتَرَفَ). ""مُعْتَرَفٌ بِهِ"" : أَيْ مَنِ اعْتُرِفَ بِهِ."
