#رقم	مشكول	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرد	التأنيث	التثنية	ج. مؤ. س.	ج. مذ. س.	المنقوص	تنوين النصب	نسب	إض. لف.	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح
4957	عَاهِدٌ	عاهد	عهد	فَاعِلٌ	فاعل	عَهِدَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
5513	مُتَعَاهِدٌ	متعاهد	عهد	مُتَفَاعِلٌ	فاعل	تَعَاهَدَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
6387	مُعَاهِدٌ	معاهد	عهد	مُفَاعِلٌ	فاعل	عَاهَدَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
2936	عَاهِرٌ	عاهر	عهر		فاعل	عَهَرَ		مذكر			مفرد	+ات;عُهَّارٌ;عَوَاهِرُ 		Ta	DnT	Pf			Tn									"(فا. مِنْ عَهَرَ). 1.""رَجُلٌ عَاهِرٌ"" : لاَ أَخْلاَقَ لَهُ، فَاسِدٌ، زَانٍ، فَاجِرٌ. ""اِمْرَأَةٌ عَاهِرَةٌ"" ""اِمْرَأَةٌ خَانَتْ بَعْلَهَا فَقَالَ عنْهَا النَّاسُ هِيَ زَانِيَةٌ عَاهِرَةٌ"". (جبران خ. جبران)."
2937	عُهََّارٌ	عهار	عهر								جمع		عَاهِرٌ						Tn									
2938	عَوَاهِرُ	عواهر	عهر								جمع		عَاهِرٌ														Non	
2939	غَاصَةٌ	غاصة	عهر								جمع		غَائِصٌ						Tn									
77	عَاهِلٌ	عاهل	عهل		فاعل			مذكر			مفرد	+ات;عَوَاهِلُ 		Ta	DnT	Pf			Tn									". 1.""الْعَاهِلُ الْمُعَظَّمُ"": الْمَلِكُ الْعَظِيمُ. 2.""اِمْرَأَةٌ عَاهِلٌ"" : الَّتِي لاَ زَوْجَ لَهَا."
78	عَوَاهِلُ	عواهل	عهل		فاعل						جمع		عَاهِلٌ														Non	
79	عُهَّلٌ	عهل	عهل		فاعل						جمع		عَاهِلٌ						Tn									
534	مُعْوَجٌّ	معوج	عوج		فاعل	اِعْوَجَّ		مذكر			مفرد	+ات 		Ta	DnT	Pf			Tn									"(فَا. مِن اِعْوَجَّ). ""خَطٌّ مُعْوَجٌّ"" : مُنْحَنٍ. ""طَرِيقٌ مُعْوَجَّةٌ""."
5544	مُتَعَوِّجٌ	متعوج	عوج	مُتَفَعِّلٌ	فاعل	تَعَوَّجَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
191	مُعْتَادٌ	معتاد	عود		فاعل	اِعْتَادَ		مذكر			مفرد	ون;ات 		Ta	DnT	Pf	Pm		Tn									"(فَا. مفع. مِن اِعْتَادَ). 1.""مُعْتَادُ السَّفَرِ"" : مَنْ أَلِفَ وَتَعَوَّدَ السَّفَرَ ... 2.""كَالْمُعْتَادِ"" : أَيْ"
499	مُعِيدٌ	معيد	عود		فاعل	أَعَادَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فَا. مِن أَعَادَ). 1.""مُعِيدٌ لِمَا سَمِعَهُ"" : مُكَرِّرٌ... 2. ""رَجُلٌ مُعِيدٌ"" : الْحَاذِقُ، الْمُجَرِّبُ لِلأُمُورِ والعَارِفُ بِهَا. 3.""مُعِيدٌ بِالجَامِعَةِ"" : مَنْ يُسْنَدُ إِلَيْهِ تَ"
2711	عَائِدٌ	عائد	عود		فاعل	عَادَ		مذكر			مفرد	ون;ات;عَوَائِدُ 		Ta	DnT	Pf	Pm		Tn									"(فا. مِنْ عَادَ). 1.""عَائِدٌ إِلَى وَطَنِهِ"" رَاجِعٌ إِلَيْهِ. 2.""عَائِدُ الْمَرِيضِ"" : مَنْ يَزُورُ الْمَرِيضَ، أَيْ زَائِرُهُ. 3.""عَائِدَةُ أَعْمَالِهِ وَأَفْعَالِهِ"" : مَعْرُوفُهُ، صِل"
2712	عَوَائِدُ	عوائد	عود								جمع		عَائِدٌ														Non	
2735	مُعَاوِدٌ	معاود	عود		فاعل	عَاوَدَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"مُعَاوِدٌ-مُعَاوِدٌ، ةٌ [ع و د] (فَا. مِن عَاوَدَ). 1.""مُعَاوِدُ الأَشْيَاءِ"" : رَاجِعٌ إِلَيْهَا بَعْدَمَا كَانَ مُنْصَرِفاً عَنْهَا. 2.""حُمَّى مُعَاوِدَةٌ"" : عَادَتْ كَمَا كَانَتْ."
5545	مُتَعَوِّدٌ	متعود	عود	مُتَفَعِّلٌ	فاعل	تَعَوَّدَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
5546	مُتَعَوِّذٌ	متعوذ	عوذ	مُتَفَعِّلٌ	فاعل	تَعَوَّذَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
